corporate_action_id,security_id,action_date,action_type,value,currency,source,source_price_hash,recorded_at
action_6bcedf40a4d533853223,security_22c2b9d782a62d7a9b86,2025-08-19,dividend,0.33,USD,yfinance,146900df8f2831e7e1647f1a1da2d08154b6cab3da39db3c326b9a619e4002f7,2026-07-25T11:28:04Z
action_15eb1d5c3d1ba485efe9,security_22c2b9d782a62d7a9b86,2025-12-05,dividend,0.33,USD,yfinance,146900df8f2831e7e1647f1a1da2d08154b6cab3da39db3c326b9a619e4002f7,2026-07-25T11:28:04Z
action_032b10d83291666cb4d6,security_22c2b9d782a62d7a9b86,2026-02-17,dividend,0.33,USD,yfinance,146900df8f2831e7e1647f1a1da2d08154b6cab3da39db3c326b9a619e4002f7,2026-07-25T11:28:04Z
action_b5be151122e862c0c113,security_22c2b9d782a62d7a9b86,2026-05-19,dividend,0.33,USD,yfinance,146900df8f2831e7e1647f1a1da2d08154b6cab3da39db3c326b9a619e4002f7,2026-07-25T11:28:04Z
action_85a0c2042ea86d6ca2ac,security_18a3ab0ee6086ee85d0f,2025-08-07,dividend,1.04,USD,yfinance,c7da255178576ad5b285557fd40ebdeff3401b664162b4c3d89a4ac9c563845c,2026-07-26T19:02:00Z
action_105dd3b63475bd38f506,security_18a3ab0ee6086ee85d0f,2025-11-05,dividend,1.04,USD,yfinance,c7da255178576ad5b285557fd40ebdeff3401b664162b4c3d89a4ac9c563845c,2026-07-26T19:02:00Z
action_9d3d93de3515833d5d4e,security_18a3ab0ee6086ee85d0f,2026-03-10,dividend,1.1,USD,yfinance,c7da255178576ad5b285557fd40ebdeff3401b664162b4c3d89a4ac9c563845c,2026-07-26T19:02:00Z
action_c63c0eaff2bc82f21a1a,security_18a3ab0ee6086ee85d0f,2026-05-08,dividend,1.1,USD,yfinance,c7da255178576ad5b285557fd40ebdeff3401b664162b4c3d89a4ac9c563845c,2026-07-26T19:02:00Z
action_f2a73fc29c67ce5ee7eb,security_1c055eb9b2bb1f5a8ff2,2025-08-15,dividend,1.48,USD,yfinance,1b57ef160d5bae7dac72940865870cc2f30ae553d1d88b26a7f2165664164405,2026-07-26T19:02:00Z
action_135e9722f0f36ca8ece4,security_1c055eb9b2bb1f5a8ff2,2026-03-06,dividend,2.54,USD,yfinance,1b57ef160d5bae7dac72940865870cc2f30ae553d1d88b26a7f2165664164405,2026-07-26T19:02:00Z
action_71c0178421d66ab62e3a,security_2c779e81c27b78c556bb,2026-05-14,dividend,1.3,USD,yfinance,2dc41cfd3c37b8804bd67cce9bd3ae2b461b7941100ec4d83ab4f406d70977c5,2026-07-26T19:02:00Z
action_b29fc87a818514fa1fec,security_2dbe878dfc899d7ee867,2025-10-15,dividend,0.15,USD,yfinance,b28fcaf8bedd3d64afb3a91fc9b7f38f51111a6d2263cf02a61c5bd0bfd44eaa,2026-07-26T19:02:00Z
action_334ea3fb98980016238e,security_2dbe878dfc899d7ee867,2026-01-15,dividend,0.15,USD,yfinance,b28fcaf8bedd3d64afb3a91fc9b7f38f51111a6d2263cf02a61c5bd0bfd44eaa,2026-07-26T19:02:00Z
action_518f34a48548e6852f97,security_2dbe878dfc899d7ee867,2026-04-15,dividend,0.15,USD,yfinance,b28fcaf8bedd3d64afb3a91fc9b7f38f51111a6d2263cf02a61c5bd0bfd44eaa,2026-07-26T19:02:00Z
action_a235cef562a6926a729b,security_2dbe878dfc899d7ee867,2026-07-15,dividend,0.15,USD,yfinance,b28fcaf8bedd3d64afb3a91fc9b7f38f51111a6d2263cf02a61c5bd0bfd44eaa,2026-07-26T19:02:00Z
action_ad6094dcbe0179fbf80d,security_4b61970aa8f574446819,2025-10-20,dividend,0.25,USD,yfinance,50c1ffba5b162217ec96c11c7478ae315480bc42326479d30e26f7159e2f58ce,2026-07-26T19:02:00Z
action_4c186a1c64729e36b340,security_4b61970aa8f574446819,2026-01-05,dividend,0.5,USD,yfinance,50c1ffba5b162217ec96c11c7478ae315480bc42326479d30e26f7159e2f58ce,2026-07-26T19:02:00Z
action_5ae3e00da296a275d79b,security_4b61970aa8f574446819,2026-03-17,dividend,0.5,USD,yfinance,50c1ffba5b162217ec96c11c7478ae315480bc42326479d30e26f7159e2f58ce,2026-07-26T19:02:00Z
action_996c43375b83def3b184,security_4b61970aa8f574446819,2026-06-16,dividend,0.5,USD,yfinance,50c1ffba5b162217ec96c11c7478ae315480bc42326479d30e26f7159e2f58ce,2026-07-26T19:02:00Z
action_a9424a23d63e87a9bc4a,security_59304f90c440def31dc5,2025-08-15,dividend,0.68,USD,yfinance,67e4f6c67810fbf8b15203707d7c3be75ac5edd61740d920efdbcf4c82adb9b1,2026-07-26T19:02:00Z
action_b15cb028d929f37e4030,security_59304f90c440def31dc5,2025-11-21,dividend,0.68,USD,yfinance,67e4f6c67810fbf8b15203707d7c3be75ac5edd61740d920efdbcf4c82adb9b1,2026-07-26T19:02:00Z
action_9e5a4a748e91f9a7e8a5,security_59304f90c440def31dc5,2026-02-20,dividend,0.68,USD,yfinance,67e4f6c67810fbf8b15203707d7c3be75ac5edd61740d920efdbcf4c82adb9b1,2026-07-26T19:02:00Z
action_27ca6c51f03dd115ba05,security_59304f90c440def31dc5,2026-05-22,dividend,0.73,USD,yfinance,67e4f6c67810fbf8b15203707d7c3be75ac5edd61740d920efdbcf4c82adb9b1,2026-07-26T19:02:00Z
action_1d8d35454ccd846ba640,security_66cdcf90aac0d83e76f3,2025-09-12,dividend,0.405,USD,yfinance,2dea6c9b3166d832613e3d9021d9afe936956993f06680ab200556b136c66fe7,2026-07-26T19:02:00Z
action_530d34696e04941d8ab2,security_66cdcf90aac0d83e76f3,2025-12-12,dividend,0.405,USD,yfinance,2dea6c9b3166d832613e3d9021d9afe936956993f06680ab200556b136c66fe7,2026-07-26T19:02:00Z
action_2f1e3912ac683343b70d,security_66cdcf90aac0d83e76f3,2026-03-13,dividend,0.405,USD,yfinance,2dea6c9b3166d832613e3d9021d9afe936956993f06680ab200556b136c66fe7,2026-07-26T19:02:00Z
action_1b15047467f7a8421408,security_66cdcf90aac0d83e76f3,2026-06-12,dividend,0.405,USD,yfinance,2dea6c9b3166d832613e3d9021d9afe936956993f06680ab200556b136c66fe7,2026-07-26T19:02:00Z
action_8530a1410648d743c1cf,security_6ad1af8d10d6276a0221,2025-08-15,dividend,0.771761,USD,yfinance,c8ff7c51d1d7573be574e12d7c322f78f3bc6e0414388e62fea26c715ed15546,2026-07-26T19:02:00Z
