security_id,as_of_date,calculated_at,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state,source_price_hash
security_099561384c0f5e697727,2026-09-11,2026-09-14T09:42:46Z,252,13.8769999,14.55859995,17.68104997,39.20331608,13.8769999,15.6501676,12.1038322,-0.5253098,-0.48027816,-0.04503164,-0.02072137,-0.05691053,-0.16655781,-0.41985124,0.57858247,,1ecf016893b111dc53a2db89a437c4e3f05dad04bd987d6a3798627e638b1ada
security_0a56aa634d077fe5796f,2026-09-11,2026-09-14T09:42:46Z,252,475.44035797,516.78641113,411.4226445,41.67057604,475.44035797,526.59801246,424.28270348,-18.30435807,-19.37300351,1.06864544,0.00546239,0.04721155,-0.14510019,-1.15362216,0.44397474,,bca9d471209f117749d47beae09592a49b1c55079094e1ec5f16326392a1cc99
security_0b67d6c8e3fd3366a257,2026-09-11,2026-09-14T09:42:46Z,252,188.78944473,209.51950134,201.90679741,41.3575475,188.78944473,214.26606209,163.31282737,-10.08142969,-11.27804245,1.19661276,0.03171463,0.04190452,-0.10517189,-1.30691924,0.47645669,,ebc6beb3b7970593ffb03c56c1c292d9d4418f16bb237752e30184d773f7f39e
security_0c8b3c4291cd97f56d8c,2026-09-14,2026-09-14T09:42:46Z,243,274550,238682,266939.5,67.20485214,274550,331445.43039647,217654.56960353,21077.41730143,14868.64541619,6208.77188524,0.00309119,0.07628524,0.15892857,-0.09321541,0.9782502,,5a4ffbe1f901be5ceedeb6c86c9ed9c05dbd9118dc11ff511a8dd5b5adc445fb
security_0cf8075039299094d614,2026-09-11,2026-09-14T09:42:46Z,252,53.03649998,52.16599968,71.16749996,34.4585536,53.03649998,64.35811981,41.71488014,-2.2241372,-1.36014067,-0.86399653,-0.00617286,-0.02931393,-0.25641029,0.83235075,0.41341949,,c4333539b5405f8f529cc8b9513f406149455056933e7c5c5d71c05d824e3da5
security_18a3ab0ee6086ee85d0f,2026-09-11,2026-09-14T09:42:46Z,252,415.84050293,415.64572998,381.69964081,54.34929584,415.84050293,448.84858757,382.83241829,-2.46668139,-3.36886575,0.90218436,0.03964317,0.07113719,-0.06167691,-0.51767149,0.37072961,,fd82047feeeed93fa9d8beadfb0b1d91d004266050f3bc135fe78690db86c734
security_1c055eb9b2bb1f5a8ff2,2026-09-11,2026-09-14T09:42:46Z,252,102.10099983,97.20243988,93.07889339,47.17610879,102.10099983,107.97324542,96.22875425,1.00407204,1.60512621,-0.60105417,0.00573498,-0.02800464,0.04027477,-1.17436825,0.27374208,,8d32d8ce76a2889728ba286d6b3a5bcaa786f5620c035b20dba8adef56d89f33
security_1e8fbdb0f45f2b413e00,2026-09-11,2026-09-14T09:42:46Z,252,57.58138771,55.73635506,50.7184219,42.72721706,57.58138771,65.63206227,49.53071315,-1.03931928,-0.24813812,-0.79118116,0.00769086,-0.05222299,-0.11338503,-0.47826678,0.54699601,,5bc981f42d1b4ca0251a1c2e44025e82c5671cc00f0daaaa35d9ee7a90bbb373
security_1f9cce545ede94cd6349,2026-09-11,2026-09-14T09:42:46Z,252,373.50299988,377.45979858,459.84649948,48.10653426,373.50299988,397.76527726,349.2407225,-5.40677816,-4.30172191,-1.10505626,0.02410809,-0.00183866,-0.08004584,1.66361359,0.32249348,,550c1e3922882e7f8589b0016b8f812f79f6883a1528f43af566418805fddf2d
security_2010347f1a0a5ea60f47,2026-09-11,2026-09-14T09:42:46Z,252,534.28900299,507.49760254,505.60820023,50.23160282,534.28900299,566.82011205,501.75789393,7.37630803,11.39600734,-4.0196993,0.00770517,-0.06134507,0.05521438,-1.40685833,0.39470932,,7712d9b4f415b42b42c87c1bc6f6382083c4a407623473e999be89ed5c5f7aa7
security_204be2a44063993de1a8,2026-09-11,2026-09-14T09:42:46Z,252,494.25158234,453.55865417,430.36044205,56.75717552,494.25158234,513.62370609,474.87945858,10.23073833,14.04924402,-3.81850569,0.00647795,-0.02840506,-0.00063792,-1.2846772,0.2113024,,3f6b98e0a0eaec65e01fe438f94ecce444b4fd145da9dd24b583142cb8df761c
security_22c2b9d782a62d7a9b86,2026-09-11,2026-09-14T09:42:46Z,252,93.67398491,84.81796722,72.87303015,72.40303869,93.67398491,94.15152326,93.19644656,2.06587078,2.62966755,-0.56379677,-0.00010622,0.00533903,0.00695641,-0.94683892,0.01740656,rsi_overbought,19366764f2e683f584727885af04db15b6c282760de9f28a7aa1a1781cb43627
security_2433a056eb0c55961fcc,2026-09-11,2026-09-14T09:42:46Z,252,258.96049881,255.25279938,239.79769989,48.91355068,258.96049881,266.46802763,251.45296999,-0.83792033,0.27205958,-1.10997991,0.01941323,-0.00818847,-0.03149401,-0.72082646,0.2555645,,469d107aab9b13bac8c8af934022676e06ad3ac5586f408a5189fc56e2f03061
security_2c779e81c27b78c556bb,2026-09-11,2026-09-14T09:42:46Z,252,55.83400002,50.98839996,43.78643639,70.63368512,55.83400002,58.95222018,52.71577985,1.83285412,1.87116275,-0.03830863,0.00503386,-0.00137975,0.06669128,-0.84971485,0.17332232,rsi_overbought,f9835095ed82d631ebb380f5f70db7e5743031b2ddc4e5d9a22427ab1064408f
security_2dbe878dfc899d7ee867,2026-09-11,2026-09-14T09:42:46Z,252,73.61500015,67.3648217,61.41049276,48.19015803,73.61500015,81.61609855,65.61390176,1.49381163,2.26523241,-0.77142079,-0.00196601,-0.0205347,0.06344453,-0.79589959,0.5230417,,35179899d6a44a837f494fc3baa0a0387f0347ca27b5cfb40514b6e29fe8a1e7
security_33d9c44facc75c726c7d,2026-09-11,2026-09-14T09:42:46Z,252,220.11174393,212.5636969,197.31822693,49.80078194,220.11174393,231.91045586,208.313032,2.54237149,3.07598843,-0.53361695,-0.00032061,-0.04340445,-0.03111411,-0.78208493,0.43275448,,88f3a8f449d4cbf66ce781ccf1137ed2a1984ea22553bcc0b24f11e8ffbf18d7
security_37ddcbdaad296ad831f2,2026-09-11,2026-09-14T09:42:46Z,252,175.02550049,165.04859955,191.27824959,51.56002504,175.02550049,201.73293159,148.31806939,4.4546484,5.60413118,-1.14948278,0.0172974,-0.09050339,0.13879143,-0.44257531,0.82269605,,eb5593fe1ebcfcf102451e141ddc7e5ae3fdaff7724414ea632fb07ec1fb14e4
security_3853e54c619d597dcaa1,2026-09-11,2026-09-11T18:05:29Z,254,14.3322,14.19495995,13.07489499,56.92167165,14.3322,15.6979642,12.96643581,0.20524504,0.06592067,0.13932436,0.00304552,0.06645074,0.01487133,-0.47809861,0.61672892,,9e1e83f54dab238874e0f8b84586ccc430230eee33d5aba7eb4b40b9aba36d29
security_3a75fc1ccca2ee7c937a,2026-09-11,2026-09-14T09:42:46Z,252,166.62572937,168.51129181,167.31419891,66.97614707,166.62572937,179.25880437,153.99265437,2.56013517,0.200086,2.36004917,0.02877655,0.07949216,0.10425395,0.13620664,0.26267675,bollinger_above_upper,5a9dac1cd181c0144a27a9c267419bcdde9edaa782438a22cb559460cfa39532
security_3e597863f00753e8c65c,2026-09-11,2026-09-14T09:42:46Z,252,227.81600037,225.70840027,194.67090069,65.03947548,227.81600037,277.1729124,178.45908833,11.53119397,4.21035161,7.32084236,0.06677245,0.17066439,0.167344,0.15484825,0.76061895,,db2c60974917e9741af87e4c9d878d52b5b99fc3317b427c30c4520b77fa0d4c
security_4627aea1bf7d8943d3d8,2026-09-11,2026-09-14T09:42:46Z,252,11.65900002,11.21019997,13.47687497,34.14848267,11.65900002,13.59496413,9.7230359,-0.23716082,0.07227574,-0.30943656,-0.05660374,-0.25606894,-0.16151809,-0.24849117,0.85331528,bollinger_below_lower,7c7d20870a8b3626a3841ede75d864a9db36448257a5d480b46e1214533b08f0
security_47a0b06f6c6c478d7c1e,2026-09-11,2026-09-14T09:42:46Z,252,225.82149963,211.67980011,157.70522541,51.44449985,225.82149963,266.22162594,185.42137333,3.07245207,1.8855933,1.18685877,-0.01560649,0.06608744,-0.11954984,-0.71935577,0.7885757,,0ec490292d1ff81b7b7c7a2ef5da4beb085db43c3964d308056bb5c20805eadb
security_488a9d7f7a8573597724,2026-09-11,2026-09-14T09:42:46Z,252,637.71750488,646.60740479,591.690439,53.37542069,637.71750488,704.15399022,571.28101955,-7.90939309,-10.46665998,2.55726689,0.05147647,0.04922107,-0.03299743,-0.29749358,0.42292213,,2b5621f41266b061bee75d9e77e27ec5ca9975c53dcf77d7637d45181bbf227d
security_4935c6e39e38273a1731,2026-09-11,2026-09-14T09:42:46Z,252,1921.94248657,1873.83459229,1858.26035095,48.84470459,1921.94248657,2043.41152101,1800.47345214,18.21506911,29.22598111,-11.010912,-0.00465314,-0.04705537,0.03780664,-0.85335821,0.36821969,,b17c4b011564d353c4d83e61b0c013aeacbc1aec70d4f17e48253476ffd58776
security_4b61970aa8f574446819,2026-09-11,2026-09-14T09:42:46Z,252,957.55500488,1002.32960327,893.29024963,48.73417407,957.55500488,1049.7377303,865.37227947,-17.23547331,-20.87955989,3.64408658,0.03610746,0.01638282,-0.08781043,-1.40883898,0.41663471,,e47d628b24247860d69b1b30ffe88ff98181039eb1e49dee4cf12c56368de844
security_55c9ce2fdcd32dad6b8c,2026-09-11,2026-09-14T09:42:46Z,252,12.04900002,11.15009996,7.73657498,64.50496258,12.04900002,13.40184736,10.69615269,0.4282612,0.36759596,0.06066524,0.07716788,0.06029753,0.00669146,-0.32554982,0.62421089,bollinger_above_upper,72c952af8c473a93b901ef4c242b7085e5236b32c8dc52422aa48d5ef6068e7f
