operation_id,created_at,updated_at,status,priority,operation_type,entity_type,entity_id,not_before,deadline,depends_on,dedupe_key,freshness_days,skill_names,prompt,payload_path,source,attempt_count,max_attempts,claimed_by_run_id,lease_expires_at,last_error
01KYPB2XDRKAMP0ZX3MWA7Y1JH,2026-07-29T07:05:39Z,2026-09-09T19:22:57Z,ready,97,security_research,security,security_fe4648901e7675f157fd,2026-07-29T07:05:39Z,,,security_research:security_fe4648901e7675f157fd:initial-backfill:2026-07-29,30,llm-wiki|papertrader-security-research|echart,Research ANIC.L — Agronomics Limited as an initial bounded security review. | Additional cause: Research security_fe4648901e7675f157fd with high priority after price-action alerts: bollinger_below_lower; decide what changed and whether to act.,data/operations/payloads/01KYPB2XDRKAMP0ZX3MWA7Y1JH.json,user-request:2026-07-29-unresearched-security-backfill,2,3,,,
01KYQCTS30ZPP1CTD2NTFVPQ7Z,2026-07-29T16:55:24Z,2026-08-20T09:44:08Z,blocked,70,opportunity_research,opportunity,opportunity_2261a96c6e7c60b2874b,,,,opportunity_research:opportunity_2261a96c6e7c60b2874b:98ea7ec8cace26925617:2026-07-26,7,llm-wiki|papertrader-opportunity-research,"Assess security_97f38b2cb2d5ef127f5a rsi_oversold transition as opportunity, risk, or noise.",data/operations/payloads/01KYQCTS30ZPP1CTD2NTFVPQ7Z.json,deterministic-indicator-transition,1,3,,,"agent_result:blocked:Blocked before research because the immutable 2026-07-28 RSI-oversold observation cannot be revalidated: its source_price_hash is absent from canonical market data and the required per-security price cache is unavailable. No wiki, structured research, trading, allocation, or accounting state was changed."
01KYQWZK5R5CRMBVHMJ7DGPRR1,2026-07-29T21:37:39Z,2026-08-05T11:40:23Z,ready,66,idea_research,idea,idea_ai_infrastructure_power,2026-07-29T21:37:39Z,,01KYQCTS3075EV877E527425DB,idea_research:idea_ai_infrastructure_power:security-result:01KYQCTS3075EV877E527425DB,0,llm-wiki|papertrader-idea-research,"Refresh the AI infrastructure and power bottlenecks idea from Eaton's completed 2026-07-29 alert review, including candidate disposition, thesis, catalysts, risks, confidence, and the broader investable-security universe.",data/operations/payloads/01KYQWZK5R5CRMBVHMJ7DGPRR1.json,security_research:01KYQCTS3075EV877E527425DB,0,3,,,
01KYQXEQHR2TX5SYSZ78PC57FJ,2026-07-29T21:45:55Z,2026-08-05T11:40:23Z,ready,66,idea_research,idea,idea_ai_infrastructure_power,2026-07-29T21:45:55Z,,01KYQCTS3075EV877E527425DB,idea_research:idea_ai_infrastructure_power:security-result:01KYQCTS3075EV877E527425DB:local-20260729-20ops-3,0,llm-wiki|papertrader-idea-research,"Refresh the AI infrastructure and power bottlenecks idea from Eaton's accepted alert review, including candidate disposition, thesis, catalysts, risks, confidence, and the broader investable-security universe.",data/operations/payloads/01KYQXEQHR2TX5SYSZ78PC57FJ.json,security_research:01KYQCTS3075EV877E527425DB,0,3,,,
01KYQYVK38FSPHJ5XKB7T0WXD9,2026-07-29T22:10:25Z,2026-08-05T11:40:23Z,ready,66,idea_research,idea,idea_ai_infrastructure_power,2026-07-29T22:10:25Z,,01KYQCTS30EQG9J9C5K4ZB2TVC,idea_research:idea_ai_infrastructure_power:security-result:01KYQCTS30EQG9J9C5K4ZB2TVC:local-20260729-20ops-4,0,llm-wiki|papertrader-idea-research,"Refresh the AI infrastructure and power bottlenecks idea from GE Vernova's accepted alert review, including candidate disposition, thesis, catalysts, risks, confidence, and the broader investable-security universe.",data/operations/payloads/01KYQYVK38FSPHJ5XKB7T0WXD9.json,security_research:01KYQCTS30EQG9J9C5K4ZB2TVC,0,3,,,
01KYQZRTMR79EG6XT5BPZGNSJY,2026-07-29T22:26:23Z,2026-08-05T11:40:23Z,ready,66,idea_research,idea,idea_critical_minerals_lithium,2026-07-29T22:26:23Z,,01KYQCTS30G11B3C9CHZTMA087,idea_research:idea_critical_minerals_lithium:security-result:01KYQCTS30G11B3C9CHZTMA087:local-20260729-20ops-4,0,llm-wiki|papertrader-idea-research,"Refresh the critical-minerals lithium idea from SQM's accepted alert review, including candidate disposition, thesis, catalysts, risks, confidence, and the broader investable-security universe.",data/operations/payloads/01KYQZRTMR79EG6XT5BPZGNSJY.json,security_research:01KYQCTS30G11B3C9CHZTMA087,0,3,,,
01KYR14MZRSZTXSDYFC2YZWCAS,2026-07-29T22:50:19Z,2026-08-05T11:40:23Z,ready,66,idea_research,idea,idea_critical_minerals_lithium,2026-07-29T22:50:19Z,,01KYQCTS30PQV1ZSA6WJFMV763,idea_research:idea_critical_minerals_lithium:security-result:01KYQCTS30PQV1ZSA6WJFMV763:local-20260729-20ops-4,0,llm-wiki|papertrader-idea-research,"Refresh the critical-minerals lithium idea from Albemarle's accepted alert review, including candidate disposition, thesis, catalysts, risks, confidence, and the broader investable-security universe.",data/operations/payloads/01KYR14MZRSZTXSDYFC2YZWCAS.json,security_research:01KYQCTS30PQV1ZSA6WJFMV763,0,3,,,
01KYR1GDY8T9RTDS2G7WCA8V80,2026-07-29T22:56:45Z,2026-08-05T11:40:23Z,ready,66,idea_research,idea,idea_critical_minerals_lithium,2026-07-29T22:56:45Z,,01KYQCTS30PRJH8K6R0BTK2DY2,idea_research:idea_critical_minerals_lithium:security-result:01KYQCTS30PRJH8K6R0BTK2DY2:local-20260729-20ops-4,0,llm-wiki|papertrader-idea-research,"Refresh the critical-minerals lithium idea from Lithium Americas' accepted alert review, including candidate disposition, thesis, catalysts, risks, confidence, and the broader investable-security universe.",data/operations/payloads/01KYR1GDY8T9RTDS2G7WCA8V80.json,security_research:01KYQCTS30PRJH8K6R0BTK2DY2,0,3,,,
01KYR2CW38HRY2WSCX0MSTYT44,2026-07-29T23:12:17Z,2026-08-05T11:40:23Z,ready,66,idea_research,idea,idea_nearshoring_friendshoring_manufacturing,2026-07-29T23:12:17Z,,01KYQCTS30SYF0E0RFYFJ0GP6R,idea_research:idea_nearshoring_friendshoring_manufacturing:security-result:01KYQCTS30SYF0E0RFYFJ0GP6R:local-20260729-20ops-4,0,llm-wiki|papertrader-idea-research,"Refresh the nearshoring and friendshoring manufacturing idea from Ternium's accepted alert review, including candidate disposition, thesis, catalysts, risks, confidence, and the broader investable-security universe.",data/operations/payloads/01KYR2CW38HRY2WSCX0MSTYT44.json,security_research:01KYQCTS30SYF0E0RFYFJ0GP6R,0,3,,,
01KYRQ18X8EDCTPPRX31ZJ6K96,2026-07-30T05:12:57Z,2026-08-05T11:40:23Z,ready,66,idea_research,idea,idea_solar_storage_grid_flexibility_reset,2026-07-30T05:12:57Z,,01KYRN70N0FRJ1Z01HXDJPXGFE,idea_research:idea_solar_storage_grid_flexibility_reset:security-result:01KYRN70N0FRJ1Z01HXDJPXGFE:gha-30514477459-1,0,llm-wiki|papertrader-idea-research,"Refresh the solar, storage, and grid-flexibility idea from Enphase Energy's accepted alert review, including candidate disposition, thesis, catalysts, risks, confidence, and the broader investable-security universe.",data/operations/payloads/01KYRQ18X8EDCTPPRX31ZJ6K96.json,security_research:01KYRN70N0FRJ1Z01HXDJPXGFE,0,3,,,
