date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-04,1.77082794,1.8103996,1.74114929,1.80050671,906300,1,,,,,,,,,,,,,,,,
2025-09-05,1.79061373,1.80050673,1.73125642,1.74114931,934300,2,,,,,,,,,,,-0.03296706,,,,,
2025-09-08,1.74114937,1.76093514,1.71147072,1.73125648,698800,3,,,,,,,,,,,-0.00568178,,,,,
2025-09-09,1.73125649,1.77082803,1.70157784,1.71147072,462800,4,,,,,,,,,,,-0.01142856,,,,,
2025-09-10,1.72136354,1.75104219,1.69168488,1.74114931,883300,5,,,,,,,,,,,0.01734098,,,,,
2025-09-11,1.72136354,1.74114931,1.70157778,1.72136354,716700,6,,,,,,,,,,,-0.01136362,-0.04395605,,,,
2025-09-12,1.73125649,1.75104226,1.71147072,1.71147072,558400,7,,,,,,,,,,,-0.00574708,-0.0170454,,,,
2025-09-15,1.72136354,1.74114931,1.70157778,1.72136354,775800,8,,,,,,,,,,,0.0057803,-0.00571431,,,,
2025-09-16,1.71147069,1.79061377,1.71147069,1.79061377,1161100,9,,,,,,,,,,,0.04022987,0.04624271,,,,
2025-09-17,1.79061377,1.83018543,1.770828,1.79061377,1226300,10,,,,,,,,,,,0,0.02840909,,,,
2025-09-18,1.80050671,1.84007825,1.78072082,1.80050671,1233100,11,,,,,,,,,,,0.00552489,0.04597702,,,,
2025-09-19,1.79061373,1.80050673,1.72136354,1.74114931,3402700,12,,,,,,,,,,,-0.03296706,0.01734098,,,,
2025-09-22,1.71147065,1.76093507,1.71147065,1.76093507,1030800,13,,,,,,,,,,,0.01136362,0.02298848,,,,
2025-09-23,1.75104222,1.85986407,1.75104222,1.83018541,2069500,14,,,,,,,,,,,0.03932589,0.02209949,,,,
2025-09-24,1.81039966,1.97857882,1.80050678,1.93900728,3106400,15,,,,64.0000106,,,,,,,0.05945948,0.08287299,,,,
