date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-11,326.86999512,329.75,322.76998901,326.01998901,7506900,1,,,,,,,,,,,,,,,,
2025-09-12,329.1499939,336.13000488,327.6000061,331.44000244,10809900,2,,,,,,,,,,,0.01662479,,,,,
2025-09-15,329.3999939,331.32998657,320.45001221,327.79000854,9527700,3,,,,,,,,,,,-0.01101253,,,,,
2025-09-16,329.23001099,335.44000244,324.83999634,335.08999634,8651300,4,,,,,,,,,,,0.02227032,,,,,
2025-09-17,335.66000366,340.10998535,323.20999146,329.70999146,9691000,5,,,,,,,,,,,-0.0160554,,,,,
2025-09-18,335.85998535,358.25,334.63000488,349.11999512,19697300,6,,,,,,,,,,,0.05886993,0.07085457,,,,
2025-09-19,347.45001221,352.92001343,337.07000732,344.75,17699700,7,,,,,,,,,,,-0.01251717,0.04015809,,,,
2025-09-22,337.01998901,341.58999634,329,335.92999268,10053500,8,,,,,,,,,,,-0.02558378,0.02483292,,,,
2025-09-23,337.05999756,339,327.76998901,327.77999878,9468800,9,,,,,,,,,,,-0.02426099,-0.02181503,,,,
2025-09-24,330.63000488,337.05999756,323.14001465,323.30999756,9153100,10,,,,,,,,,,,-0.0136372,-0.01941098,,,,
2025-09-25,316.60998535,317,292.35998535,300.70001221,22087000,11,,,,,,,,,,,-0.06993284,-0.13869152,,,,
2025-09-26,301.29998779,310,297.70999146,309.05999756,11693400,12,,,,,,,,,,,0.02780175,-0.1035243,,,,
2025-09-29,313.73001099,327.98999023,311,326.42001343,12652000,13,,,,,,,,,,,0.05617037,-0.02830941,,,,
2025-09-30,320.82998657,324.5,316.19000244,322.20999146,7798800,14,,,,,,,,,,,-0.01289756,-0.01699313,,,,
2025-10-01,332.47000122,343.73001099,331.20001221,338.41000366,13994800,15,,,,54.56488565,,,,,,,0.05027781,0.04670442,,,,
2025-10-02,348.57000732,353.22000122,341.1499939,352.32998657,13666800,16,,,,59.08448078,,,,,,,0.04113349,0.17169928,,,,
2025-10-03,350.86999512,358.54000854,344.3999939,351.63000488,12107900,17,,,,58.76790276,,,,,,,-0.00198672,0.13774027,,,,
2025-10-06,362.95001221,365.20999146,354.70001221,359.69000244,9551000,18,,,,61.33675182,,,,,,,0.02292181,0.10192386,,,,
2025-10-07,358.88000488,359.44000244,328.16000366,328.3999939,19584100,19,,,,48.66178914,,,,,,,-0.0869916,0.01921108,,,,
