date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-02,497.32034095,502.81553721,493.68337118,501.94107056,18128000,1,,,,,,,,,,,,,,,,
2025-09-03,500.61946731,504.5942938,499.15871737,502.16964722,16345100,2,,,,,,,,,,,0.00045539,,,,,
2025-09-04,501.12624613,504.95202276,499.98348956,504.77316284,15509500,3,,,,,,,,,,,0.00518453,,,,,
2025-09-05,505.86622473,508.74796779,489.27131242,491.88476562,31994800,4,,,,,,,,,,,-0.02553305,,,,,
2025-09-08,494.97517595,498.04575601,491.91457299,495.06463623,16771000,5,,,,,,,,,,,0.00646467,,,,,
2025-09-09,498.27426777,499.08911442,494.56776175,495.27328491,14410500,6,,,,,,,,,,,0.00042146,-0.013284,,,,
2025-09-10,499.81459851,500.06302518,493.59398497,497.2210083,21611800,7,,,,,,,,,,,0.00393262,-0.00985452,,,,
2025-09-11,499.08915062,500.00337405,494.74665753,497.85696411,18881600,8,,,,,,,,,,,0.00127902,-0.0137016,,,,
2025-09-12,503.46146294,509.32432605,500.67909648,506.69100952,23624900,9,,,,,,,,,,,0.01774414,0.03010104,,,,
2025-09-15,505.58800862,512.22593136,503.80926525,512.11663818,17143800,10,,,,,,,,,,,0.01070796,0.03444399,,,,
2025-09-16,513.62708203,513.97485509,505.39919244,505.83642578,19711900,11,,,,,,,,,,,-0.01226325,0.0213279,,,,
2025-09-17,507.40647174,508.07226852,502.74598524,506.8102417,15816600,12,,,,,,,,,,,0.00192516,0.01928566,,,,
2025-09-18,508.27096824,509.84104161,504.46508538,505.25012207,18913700,13,,,,,,,,,,,-0.00307831,0.01484996,,,,
2025-09-19,507.3469183,516.03190563,507.09849161,514.67053223,52474100,14,,,,,,,,,,,0.01864504,0.0157483,,,,
2025-09-22,512.34524249,514.48167541,509.31438866,511.21240234,20009300,15,,,,58.04174147,,,,,,,-0.00671911,-0.00176568,,,,
2025-09-23,510.56645429,511.35152134,504.11730796,506.02523804,19799600,16,,,,52.91403079,,,,,,,-0.01014679,0.00037327,,,,
2025-09-24,507.16798605,509.25474567,503.72976966,506.93942261,13533700,17,,,,53.69053076,,,,,,,0.0018066,0.00025489,,,,
2025-09-25,505.10107734,506.80033754,501.86161428,503.83908081,15786500,18,,,,50.64047304,,,,,,,-0.0061158,-0.00279276,,,,
2025-09-26,506.84999721,510.70558376,503.43164401,508.24118042,16213100,19,,,,54.58541556,,,,,,,0.00873711,-0.01249217,,,,
2025-09-29,508.28089264,513.59719835,505.67738637,511.36135864,17617800,20,504.25890961,,,57.1966829,504.25890961,516.34271084,492.17510837,,,,0.00613917,0.00029138,,-0.31043658,,
2025-09-30,510.00998852,514.89900823,506.45253208,514.69036865,19728200,21,504.89637451,,,59.84927096,504.89637451,517.74477512,492.0479739,,,,0.00651009,0.01712391,0.02539999,-0.06783969,0.15834552,
