date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-22,7.61999989,7.71999979,7.4000001,7.42000008,50068,1,,,,,,,,,,,,,,,,
2025-09-23,7.44000006,8.02000046,7.42000008,7.78000021,61059,2,,,,,,,,,,,0.04851754,,,,,
2025-09-24,7.86000013,7.96000004,7.61999989,7.65999985,75873,3,,,,,,,,,,,-0.01542421,,,,,
2025-09-25,7.84000015,7.96000004,7.67999983,7.9000001,60775,4,,,,,,,,,,,0.03133163,,,,,
2025-09-26,7.98000002,8.27999973,7.73999977,8.10000038,74351,5,,,,,,,,,,,0.02531649,,,,,
2025-09-29,8.47999954,8.76000023,8.11999989,8.39999962,107595,6,,,,,,,,,,,0.03703694,0.13207541,,,,
2025-09-30,8.47999954,8.80000019,8.35999966,8.80000019,77520,7,,,,,,,,,,,0.04761912,0.13110539,,,,
2025-10-01,8.80000019,9.34000015,8.65999985,9.15999985,107291,8,,,,,,,,,,,0.04090905,0.19582246,,,,
2025-10-02,9.34000015,9.77999973,9.23999977,9.60000038,121935,9,,,,,,,,,,,0.04803499,0.21518991,,,,
2025-10-03,9.81999969,10.64999962,9.81999969,10.30000019,112037,10,,,,,,,,,,,0.07291664,0.2716049,,,,
2025-10-06,11.19999981,11.80000019,10.5,11.69999981,256892,11,,,,,,,,,,,0.13592229,0.39285718,,,,
2025-10-07,11.69999981,11.69999981,10.60000038,11.05000019,172856,12,,,,,,,,,,,-0.05555552,0.25568181,,,,
2025-10-08,11,11.75,10.80000019,11.30000019,82352,13,,,,,,,,,,,0.02262443,0.2336245,,,,
2025-10-09,11.10000038,11.14999962,10.25,10.5,115776,14,,,,,,,,,,,-0.07079648,0.09374996,,,,
2025-10-10,10.39999962,10.44999981,9.60000038,9.64000034,101636,15,,,,65.67796816,,,,,,,-0.08190473,-0.06407765,,,,
2025-10-13,9.64000034,10.19999981,9.52000046,9.69999981,40717,16,,,,65.98837139,,,,,,,0.00622401,-0.17094017,,,,
