date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-01,1021.7076416,1021.7076416,1021.7076416,1021.7076416,0,1,,,,,,,,,,,,,,,,
2025-09-02,1046.38658622,1046.38658622,1036.51501465,1036.51501465,0,2,,,,,,,,,,,0.01449277,,,,,
2025-09-03,1056.25806232,1061.19384766,1056.25806232,1061.19384766,0,3,,,,,,,,,,,0.02380943,,,,,
2025-09-04,1061.19396459,1061.19396459,1056.25817871,1056.25817871,0,4,,,,,,,,,,,-0.00465105,,,,,
2025-09-05,1061.19396459,1066.12975047,1056.25817871,1056.25817871,0,5,,,,,,,,,,,0,,,,,
2025-09-08,1061.19397481,1066.12976074,1061.19397481,1066.12976074,0,6,,,,,,,,,,,0.0093458,0.04347831,,,,
2025-09-09,1080.93701727,1090.8085882,1080.93701727,1085.87280273,0,7,,,,,,,,,,,0.01851842,0.04761898,,,,
2025-09-10,1100.68006565,1110.55163574,1100.68006565,1110.55163574,0,8,,,,,,,,,,,0.02272719,0.04651157,,,,
2025-09-11,1115.48769001,1135.23083496,1110.55190377,1135.23083496,0,9,,,,,,,,,,,0.02222247,0.07476643,,,,
2025-09-12,1145.10229492,1145.10229492,1140.16650917,1145.10229492,0,10,,,,,,,,,,,0.00869555,0.08411212,,,,
2025-09-15,1159.90966797,1159.90966797,1150.03809633,1159.90966797,0,11,,,,,,,,,,,0.01293105,0.08796294,,,,
2025-09-16,1199.39598083,1199.39598083,1184.58862305,1184.58862305,0,12,,,,,,,,,,,0.02127662,0.09090919,,,,
2025-09-17,1174.71705119,1184.58862305,1174.71705119,1184.58862305,0,13,,,,,,,,,,,0,0.06666686,,,,
2025-09-18,1209.26745605,1214.20324159,1209.26745605,1209.26745605,0,14,,,,,,,,,,,0.02083325,0.06521724,,,,
2025-09-19,1194.4602101,1199.39599609,1194.4602101,1199.39599609,0,15,,,,92.8572396,,,,,,,-0.00816317,0.04741384,,,,rsi_overbought
2025-09-22,1253.68945887,1258.62524414,1243.81788833,1258.62524414,2,16,,,,94.53788759,,,,,,,0.04938256,0.08510626,,,,rsi_overbought
2025-09-23,1268.49683185,1273.43261719,1268.49683185,1273.43261719,0,17,,,,94.86329102,,,,,,,0.01176472,0.07499987,,,,rsi_overbought
2025-09-24,1273.43272877,1278.36851454,1263.56115723,1263.56115723,0,18,,,,90.97231298,,,,,,,-0.00775185,0.06666663,,,,rsi_overbought
2025-09-25,1283.30418786,1288.2399732,1273.43261719,1273.43261719,0,19,,,,91.3542131,,,,,,,0.00781241,0.05306118,,,,rsi_overbought
2025-09-26,1238.88220748,1243.81799316,1238.88220748,1243.81799316,0,20,1151.27200928,,,80.36982544,1151.27200928,1318.67808224,983.86593631,,,,-0.02325574,0.03703697,,-0.22941573,,rsi_overbought
2025-09-29,1274.8751545,1274.8751545,1269.91455078,1269.91455078,0,21,1163.68235474,,,82.3803369,1163.68235474,1327.59254974,999.77215973,,,,0.02098101,0.00896955,0.2429334,-0.22941573,0.24265598,rsi_overbought
2025-09-30,1259.9934082,1264.95401217,1259.9934082,1259.9934082,0,22,1174.85627441,,,79.06498424,1174.85627441,1332.93215312,1016.78039571,,,,-0.00781245,-0.01055353,0.21560555,-0.22941573,0.25080135,rsi_overbought
2025-10-01,1289.75691217,1334.40234375,1289.75691217,1334.40234375,0,23,1188.51669922,,,84.20062074,1188.51669922,1352.06704254,1024.96635589,,,,0.05905502,0.05606471,0.2574539,-0.22941573,0.30015932,rsi_overbought
2025-10-02,1349.28417969,1349.28417969,1339.36297248,1349.28417969,3,24,1203.16799927,,,84.99351638,1203.16799927,1369.18259421,1037.15340432,,,,0.01115244,0.05956465,0.27741892,3.5878044,0.29423654,rsi_overbought|volume_anomaly
2025-10-03,1349.28420455,1364.16601562,1349.28420455,1364.16601562,0,25,1218.56339111,,,85.76296603,1218.56339111,1384.33536267,1052.79141956,,,,0.01102943,0.09675694,0.29150812,-0.32616404,0.29079368,rsi_overbought
2025-10-06,1359.2055244,1388.96914903,1359.2055244,1384.00854492,0,26,1234.45733032,,,86.73928853,1234.45733032,1399.67565494,1069.2390057,,,,0.01454554,0.08984384,0.29816144,-0.32616404,0.29051826,rsi_overbought
2025-10-07,1403.85096134,1403.85096134,1384.00854492,1384.00854492,0,27,1249.36411743,,,86.73928853,1249.36411743,1412.04751047,1086.68072439,,,,0,0.09842523,0.27455862,-0.32616404,0.29337567,rsi_overbought
2025-10-08,1379.0478362,1418.73266602,1379.0478362,1418.73266602,0,28,1264.77316895,,,88.35942568,1264.77316895,1430.30108482,1099.24525307,,,,0.02508953,0.06319707,0.27750266,-0.32616404,0.29453784,rsi_overbought
2025-10-09,1438.57514717,1438.57514717,1408.81152344,1408.81152344,0,29,1278.45220337,,,85.15812719,1278.45220337,1444.11509377,1112.78931297,,,,-0.00699296,0.04411772,0.24099124,-0.32616404,0.29967261,rsi_overbought
2025-10-10,1428.6539572,1428.6539572,1369.12670898,1369.12670898,0,30,1289.65342407,,,73.66171199,1289.65342407,1447.86296061,1131.44388753,,,,-0.028169,0.00363643,0.19563703,-0.32616404,0.32899584,rsi_overbought
2025-10-13,1384.00847976,1408.81149911,1384.00847976,1393.9296875,0,31,1301.35442505,,,75.85561143,1301.35442505,1453.96708222,1148.74176787,,,,0.01811591,0.00716841,0.20175711,-0.32616404,0.33022643,rsi_overbought
2025-10-14,1374.0871582,1374.0871582,1359.20534783,1374.0871582,0,32,1310.82935181,,,70.77640842,1310.82935181,1456.64665453,1165.01204908,,,,-0.01423496,-0.00716859,0.15996991,-0.32616404,0.33698104,rsi_overbought
2025-10-15,1423.69335938,1428.65396341,1423.69335938,1423.69335938,0,33,1322.78458862,,,75.23997973,1322.78458862,1464.38715761,1181.18201963,,,,0.0361012,0.00349657,0.20184622,-0.32616404,0.34954206,rsi_overbought
2025-10-16,1458.41756985,1468.33877781,1458.41756985,1463.37817383,0,34,1335.49012451,,,78.11926011,1335.49012451,1479.64853855,1191.33171047,88.03685077,93.73011282,-5.69326206,0.02787455,0.0387324,0.21013608,-0.32616404,0.35325447,rsi_overbought
2025-10-17,1448.49633789,1458.41754568,1428.6539223,1448.49633789,0,35,1347.9451416,,,74.61515712,1347.9451416,1485.82515114,1210.06513206,87.07342603,92.39877547,-5.32534943,-0.01016951,0.05797099,0.20768816,-0.32616404,0.35460746,rsi_overbought
2025-10-20,1463.37810889,1473.29931641,1458.41750513,1473.29931641,0,36,1358.67884521,,,76.50661367,1358.67884521,1500.44334172,1216.91434871,87.30490151,91.38000067,-4.07509916,0.01712326,0.05693948,0.17056234,-0.22941573,0.3255225,rsi_overbought
