date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-10,10.11999989,10.27999973,9.61999989,9.80000019,1337800,1,,,,,,,,,,,,,,,,
2025-09-11,9.76000023,10.01000023,9.72999954,9.85000038,589400,2,,,,,,,,,,,0.00510206,,,,,
2025-09-12,9.82999992,9.88000011,9.68000031,9.81000042,630000,3,,,,,,,,,,,-0.00406091,,,,,
2025-09-15,9.86999989,10.05000019,9.81999969,9.86999989,547600,4,,,,,,,,,,,0.00611615,,,,,
2025-09-16,9.82999992,9.86999989,9.65999985,9.85999966,596400,5,,,,,,,,,,,-0.00101319,,,,,
2025-09-17,9.86999989,10.15999985,9.71000004,9.84000015,956900,6,,,,,,,,,,,-0.00202835,0.00408163,,,,
2025-09-18,9.92000008,10.11999989,9.84000015,9.93000031,961300,7,,,,,,,,,,,0.00914636,0.00812182,,,,
2025-09-19,10,10.68999958,9.85000038,10.52999973,3351200,8,,,,,,,,,,,0.0604229,0.07339442,,,,
2025-09-22,10.5,10.52999973,10.09000015,10.36999989,1152600,9,,,,,,,,,,,-0.01519467,0.05065856,,,,
2025-09-23,10.47000027,11.72000027,10.47000027,11.68999958,2614700,10,,,,,,,,,,,0.12729023,0.18559838,,,,
2025-09-24,11.69999981,12.10000038,11.61999989,11.65999985,2077100,11,,,,,,,,,,,-0.00256627,0.18495932,,,,
2025-09-25,11.18000031,11.78999996,11.06999969,11.59000015,1123600,12,,,,,,,,,,,-0.0060034,0.16717017,,,,
2025-09-26,11.56999969,11.76000023,11.36999989,11.61999989,1206500,13,,,,,,,,,,,0.00258842,0.10351379,,,,
2025-09-29,11.73999977,11.84000015,11.26000023,11.31000042,663400,14,,,,,,,,,,,-0.0266781,0.09064615,,,,
2025-09-30,11.39000034,11.47000027,11.03999996,11.19999981,550800,15,,,,74.13794351,,,,,,,-0.00972596,-0.04191615,,,,rsi_overbought
2025-10-01,11.07999992,11.18999958,11.01000023,11.07999992,560200,16,,,,70.97512671,,,,,,,-0.01071428,-0.0497427,,,,rsi_overbought
2025-10-02,11.23999977,11.60999966,11.21000004,11.57999992,710200,17,,,,75.63860096,,,,,,,0.04512635,-0.00086283,,,,rsi_overbought
2025-10-03,11.60999966,11.94999981,11.56000042,11.64000034,675100,18,,,,76.13414831,,,,,,,0.00518138,0.00172121,,,,rsi_overbought
2025-10-06,11.77000046,11.92000008,11.60000038,11.88000011,775800,19,,,,78.05689565,,,,,,,0.02061854,0.05039785,,,,rsi_overbought
2025-10-07,11.96000004,12.25,11.43999958,11.55000019,809600,20,10.83300004,,,69.73737037,10.83300004,12.44018507,9.22581501,,,,-0.02777777,0.03125003,,-0.3881956,,
