date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-23,8.73999977,8.93500042,8.57999992,8.85999966,760000,1,,,,,,,,,,,,,,,,
2025-09-24,8.85000038,8.86999989,8.625,8.64999962,466400,2,,,,,,,,,,,-0.02370204,,,,,
2025-09-25,8.47999954,8.60299969,8.32999992,8.39000034,646400,3,,,,,,,,,,,-0.03005772,,,,,
2025-09-26,8.38000011,8.49499989,8.35999966,8.47000027,435900,4,,,,,,,,,,,0.00953515,,,,,
2025-09-29,8.53999996,8.65999985,8.42000008,8.60000038,439800,5,,,,,,,,,,,0.0153483,,,,,
2025-09-30,8.60000038,8.93000031,8.55000019,8.92000008,734800,6,,,,,,,,,,,0.03720927,0.00677206,,,,
2025-10-01,8.85999966,8.88000011,8.625,8.64999962,761000,7,,,,,,,,,,,-0.03026911,0,,,,
2025-10-02,8.67000008,8.69999981,7.82000017,7.96999979,1618800,8,,,,,,,,,,,-0.0786127,-0.05005966,,,,
2025-10-03,8.02499962,8.34000015,7.98500013,8.02999973,1395600,9,,,,,,,,,,,0.00752822,-0.05194811,,,,
2025-10-06,8.14000034,8.18000031,7.96000004,7.96999979,920200,10,,,,,,,,,,,-0.00747197,-0.07325588,,,,
2025-10-07,7.96999979,8.07999992,7.3499999,7.40999985,1000500,11,,,,,,,,,,,-0.07026348,-0.16928254,,,,
2025-10-08,7.61000013,8.09000015,7.42999983,8.06000042,1232900,12,,,,,,,,,,,0.08771938,-0.068208,,,,
2025-10-09,7.96000004,8,7.71000004,7.94000006,720900,13,,,,,,,,,,,-0.01488838,-0.00376408,,,,
2025-10-10,7.94000006,8.10999966,7.46999979,7.48999977,926200,14,,,,,,,,,,,-0.0566751,-0.06724782,,,,
2025-10-13,7.78000021,7.96999979,7.67999983,7.90999985,600300,15,,,,38.87588165,,,,,,,0.05607478,-0.00752822,,,,
2025-10-14,7.67999983,8.13000011,7.67999983,8,632500,16,,,,40.23252263,,,,,,,0.01137802,0.07962215,,,,
2025-10-15,8.18999958,8.30500031,8.06000042,8.18000031,415100,17,,,,42.959313,,,,,,,0.02250004,0.01488832,,,,
2025-10-16,8.18000031,8.19499969,7.88000011,7.96999979,378500,18,,,,40.63031652,,,,,,,-0.02567243,0.0037783,,,,
2025-10-17,7.86999989,7.98500013,7.80000019,7.8499999,349500,19,,,,39.31855698,,,,,,,-0.01505645,0.0480641,,,,
2025-10-20,7.96999979,8.21500015,7.92000008,8.18000031,448800,20,8.17499998,,,44.6142231,8.17499998,8.98319555,7.3668044,,,,0.04203827,0.03413407,,-0.86146422,,
2025-10-21,8.17000008,8.27000046,8.11200047,8.23999977,392500,21,8.14399998,,,45.54473551,8.14399998,8.88987945,7.39812052,,,,0.0073349,0.02999997,-0.06997742,-0.94880668,0.64267643,
2025-10-22,8.19999981,8.28999996,7.92000008,8.03999996,405000,22,8.1135,,,42.95416128,8.1135,8.82312754,7.40387245,,,,-0.02427182,-0.01711496,-0.07052019,-0.8980637,0.64291281,
2025-10-23,8.06000042,8.65299988,7.96999979,8.39999962,759900,23,8.11399996,,,48.61935303,8.11399996,8.82441968,7.40358025,,,,0.04477608,0.0539523,0.00119181,0.08901804,0.65499712,
2025-10-24,8.55000019,8.64999962,8.51399994,8.60000038,420500,24,8.12049997,,,51.5009806,8.12049997,8.84604749,7.39495244,,,,0.02380962,0.09554146,0.0153483,-0.867403,0.65921291,
2025-10-27,8.72000027,8.75,8.35499954,8.43999958,497800,25,8.11249993,,,49.12722656,8.11249993,8.82002737,7.40497249,,,,-0.01860474,0.03178475,-0.01860474,-0.66129796,0.66077258,
2025-10-28,8.43999958,8.51000023,8.34000015,8.34000015,448300,26,8.08349993,,,47.64902294,8.08349993,8.69764247,7.4693574,,,,-0.01184827,0.01213597,-0.06502241,-0.74988549,0.64756499,
2025-10-29,8.35000038,8.56000042,8.15999985,8.30000019,780600,27,8.06599996,,,47.03931792,8.06599996,8.63268872,7.4993112,,,,-0.00479616,0.03233834,-0.04046236,0.17730846,0.6397633,
2025-10-30,8.14999962,8.38000011,7.98000002,7.98999977,790900,28,8.06699996,,,42.50045806,8.06699996,8.63307782,7.5009221,,,,-0.03734945,-0.04880951,0.00250941,0.39311057,0.59095999,
2025-10-31,8.02999973,8.27000046,8,8.14999962,689200,29,8.07299995,,,45.42732494,8.07299995,8.63992511,7.5060748,,,,0.02002501,-0.05232567,0.01494395,0.20124631,0.59432126,
2025-11-03,8.17000008,8.44999981,7.94000006,8.10999966,959300,30,8.07999995,,,44.81318257,8.07999995,8.64511951,7.51488038,,,,-0.00490797,-0.03909952,0.01756586,1.29658413,0.59390296,
2025-11-04,7.80000019,7.94000006,7.32000017,7.51999998,1396000,31,8.08549995,,,36.89093449,8.08549995,8.62603588,7.54496403,,,,-0.07274965,-0.09832136,0.01484482,2.57335057,0.59774158,bollinger_below_lower|volume_anomaly
2025-11-05,6.51999998,6.69999981,6.09000015,6.53000021,2150800,32,8.00899994,,,27.95920638,8.00899994,8.87649976,7.14150013,,,,-0.13164891,-0.213253,-0.18982632,3.46145432,0.67555238,bollinger_below_lower|rsi_oversold|volume_anomaly
2025-11-06,6.51999998,6.60099983,6.21000004,6.28000021,1605900,33,7.92599995,,,26.23202759,7.92599995,9.0757546,6.7762453,,,,-0.03828484,-0.21401747,-0.20906799,1.8535516,0.68270401,bollinger_below_lower|rsi_oversold
2025-11-07,6.13999987,6.6500001,6.0999999,6.55000019,1527000,34,7.87899997,,,31.17690005,7.87899997,9.16498426,6.59301568,-0.36873368,-0.12576744,-0.24296624,0.04299363,-0.19631896,-0.12550062,1.52104411,0.68520837,bollinger_below_lower
2025-11-10,6.61999989,6.64900017,6.42000008,6.5,909400,35,7.80849998,,,30.76561263,7.80849998,9.22765839,6.38934157,-0.4152806,-0.18367007,-0.23161053,-0.00763362,-0.19852031,-0.17825536,0.22834611,0.64722226,
2025-11-11,6.71999979,6.80999994,6.51000023,6.51999998,910300,36,7.73449998,,,31.15682806,7.73449998,9.25660989,6.21239007,-0.44542101,-0.23602026,-0.20940075,0.00307692,-0.13297872,-0.185,0.202143,0.64457725,
2025-11-12,6.51999998,6.71999979,6.50500011,6.55000019,1075900,37,7.65299997,,,31.77954136,7.65299997,9.24396302,6.06203692,-0.46156608,-0.28112942,-0.18043666,0.00460126,0.00306278,-0.19926651,0.47964124,0.6363687,
2025-11-13,6.46000004,6.51000023,6.13999987,6.21999979,836400,38,7.56549997,,,28.70385299,7.56549997,9.26583481,5.86516514,-0.49528016,-0.32395957,-0.17132059,-0.05038174,-0.00955421,-0.21957341,-0.06661892,0.64954025,rsi_oversold
2025-11-14,6.07999992,6.17000008,6.01999998,6.07000017,802900,39,7.47649999,,,27.40549994,7.47649999,9.29049294,5.66250703,-0.52801589,-0.36477084,-0.16324506,-0.0241157,-0.07328244,-0.22675156,-0.19224605,0.65092975,rsi_oversold
2025-11-17,6.01999998,6.05000019,5.67999983,5.76999998,1247100,40,7.35599997,,,24.97255824,7.35599997,9.28367612,5.42832382,-0.57157791,-0.40613225,-0.16544566,-0.04942342,-0.1123077,-0.29462106,0.70484102,0.63208385,rsi_oversold
2025-11-18,5.69999981,5.82000017,5.61399984,5.73999977,932200,41,7.23099997,,,24.73606861,7.23099997,9.23585297,5.22614697,-0.60158717,-0.44522323,-0.15636393,-0.00519934,-0.11963193,-0.30339807,-0.05799768,0.62760772,rsi_oversold
2025-11-19,5.80000019,5.80999994,5.42999983,5.5,1421900,42,7.10399997,,,22.87016353,7.10399997,9.20716319,5.00083675,-0.63738828,-0.48365624,-0.15373204,-0.04181181,-0.16030537,-0.31592039,0.9758259,0.63304458,rsi_oversold
2025-11-20,5.71000004,5.78999996,5.36999989,5.38999987,1102900,43,6.95349998,,,22.04920927,6.95349998,9.09460503,4.81239494,-0.66694884,-0.52031476,-0.14663408,-0.02000002,-0.13344051,-0.35833332,0.18459384,0.59037358,rsi_oversold
