date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-24,166.5026686,171.81144864,166.12838983,170.93486023,9213700,1,,,,,,,,,,,,,,,,
2025-09-25,168.63011256,169.37865502,165.40938266,167.12315369,8093700,2,,,,,,,,,,,-0.02229918,,,,,
2025-09-26,167.12315349,168.35431775,165.59652184,166.65039062,4846000,3,,,,,,,,,,,-0.00282883,,,,,
2025-09-29,166.65041589,167.28077148,162.27731739,162.80918884,7523100,4,,,,,,,,,,,-0.02304946,,,,,
2025-09-30,163.14404335,164.32595807,162.39550087,163.85319519,5593300,5,,,,,,,,,,,0.00641245,,,,,
2025-10-01,163.30164182,164.25702656,162.011384,163.98124695,6153000,6,,,,,,,,,,,0.0007815,-0.0406799,,,,
2025-10-02,165.22224873,166.98526939,164.66083059,166.30567932,5499500,7,,,,,,,,,,,0.01417499,-0.00489145,,,,
2025-10-03,166.30569261,169.161988,166.19734954,166.63070679,5137900,8,,,,,,,,,,,0.0019544,-0.00011811,,,,
2025-10-06,167.97021405,168.30510218,165.19271499,166.07914734,8265800,9,,,,,,,,,,,-0.00331007,0.02008461,,,,
2025-10-07,167.33984943,169.38850867,162.65158108,162.96676636,7147500,10,,,,,,,,,,,-0.01874035,-0.0054099,,,,
2025-10-08,163.73501466,166.01020397,161.42041967,165.24195862,7302200,11,,,,,,,,,,,0.01396108,0.00768815,,,,
2025-10-09,164.84798179,165.08437076,160.77036594,163.16375732,6928400,12,,,,,,,,,,,-0.01257672,-0.01889245,,,,
2025-10-10,162.33641064,162.60233131,151.03924557,151.27561951,15818600,13,,,,,,,,,,,-0.07286016,-0.09215041,,,,
2025-10-13,153.6000567,159.94301765,153.43262016,159.34220886,10311000,14,,,,,,,,,,,0.05332379,-0.04056463,,,,
2025-10-14,156.89959067,161.79470142,156.86018499,159.30282593,8675200,15,,,,35.44490476,,,,,,,-0.00024716,-0.02248275,,,,
2025-10-15,161.76513402,161.76513402,157.89434591,160.51426697,7334100,16,,,,37.48595611,,,,,,,0.00760464,-0.02861072,,,,
2025-10-16,162.01138472,162.70083375,159.76574214,161.6075592,5686700,17,,,,39.34965334,,,,,,,0.00681118,-0.00953765,,,,
2025-10-17,160.40593933,161.32191838,159.23386848,160.98704529,4833100,18,,,,38.64545319,,,,,,,-0.00383963,0.0641969,,,,
2025-10-20,160.87870572,165.12375803,159.61799461,164.52294922,8194100,19,,,,44.71676159,,,,,,,0.0219639,0.0325133,,,,
2025-10-21,164.28655549,166.68979043,163.69559065,166.28596497,6176100,20,163.47892456,,,47.50599993,163.47892456,171.46477316,155.49307597,,,,0.01071593,0.04383563,,-0.52005091,,
2025-10-22,164.96616837,167.2216547,163.51831799,166.71934509,10083800,21,163.2681488,,,48.19788998,163.2681488,170.65583733,155.88046027,,,,0.00260623,0.03865749,-0.02466153,1.05714745,0.36981904,
2025-10-23,165.79351503,168.6695131,165.35029887,167.46789551,6546400,22,163.28538589,,,49.43752125,163.28538589,170.71048625,155.86028554,,,,0.00448988,0.03626276,0.0020628,-0.34717933,0.36188227,
2025-10-24,169.10287905,169.82187478,165.93139865,166.39431763,6256000,23,163.27258224,,,47.67539682,163.27258224,170.67527766,155.86988682,,,,-0.00641065,0.03358825,-0.00153659,-0.50464471,0.36249264,
2025-10-27,166.40415299,202.8466139,166.27612213,184.85191345,81799300,24,164.37471848,,,68.47806415,164.37471848,176.3343022,152.41513475,,,,0.11092684,0.12356309,0.13538993,4.3113656,0.51749673,bollinger_above_upper|volume_anomaly
2025-10-28,181.15843448,183.10860957,176.70655514,178.30213928,20323100,25,165.09716568,,,59.44627836,165.09716568,178.50179681,151.69253455,,,,-0.03543255,0.07226211,0.08818225,0.51088448,0.53783166,
2025-10-29,179.25751502,180.72506822,175.51477269,175.97769165,11614600,26,165.69698792,,,56.5935075,165.69698792,179.89815347,151.49582236,,,,-0.01303657,0.05553253,0.07315742,-0.03551747,0.54124484,
2025-10-30,175.98754434,177.1694741,174.52000609,174.58894348,7862900,27,166.11115112,,,54.89842621,166.11115112,180.83277644,151.3895258,,,,-0.00789161,0.04252187,0.04980746,-0.27232279,0.54145565,
2025-10-31,175.82996097,179.4052518,174.16542447,178.17408752,9452800,28,166.68832016,,,58.36536721,166.68832016,182.32298213,151.05365819,,,,0.02053477,0.0707943,0.06927523,-0.18905058,0.54480898,
2025-11-03,180.19321926,180.68568502,176.39138298,177.99682617,8535100,29,167.2842041,,,58.12744874,167.2842041,183.67092396,150.89748425,,,,-0.00099488,-0.03708421,0.07175903,-0.24629845,0.54448006,
2025-11-04,174.8056313,176.63760442,169.69383462,170.23554993,12323600,30,167.64764328,,,48.75603572,167.64764328,183.95746456,151.337822,,,,-0.04360345,-0.04524112,0.04460286,-0.02952893,0.56403412,
2025-11-05,172.12661985,180.66597397,171.69326262,177.0118866,18845500,31,168.23613968,,,55.50155204,168.23613968,184.99935253,151.47292683,,,,0.03980565,0.00587685,0.07122845,0.33676432,0.5774057,
2025-11-06,175.12080894,175.82010183,167.49743436,170.59011841,16184700,32,168.60745773,,,48.92834467,168.60745773,185.23322771,151.98168776,,,,-0.03627874,-0.02290423,0.04551477,0.14482162,0.59167513,
2025-11-07,170.12719631,171.62429625,165.71470786,168.31492615,10614700,33,169.45942307,,,46.81297344,169.45942307,184.06940045,154.84944568,,,,-0.01333719,-0.05533443,0.11263749,-0.18344775,0.52804947,
2025-11-10,171.14168268,172.1660198,166.94588013,168.98469543,10129300,34,169.94154739,,,47.53211018,169.94154739,183.80138622,156.08170857,2.02888315,2.70492905,-0.6760459,0.00397926,-0.05063085,0.06051433,-0.21286387,0.49899214,
