date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-08,154.91000366,158.30000305,154.83999634,156.1000061,47643000,1,,,,,,,,,,,,,,,,
2025-09-09,157.25,162.75,156.36999512,162.36000061,61359500,2,,,,,,,,,,,0.04010246,,,,,
2025-09-10,166,169,163.44000244,166.74000549,62211400,3,,,,,,,,,,,0.02697712,,,,,
2025-09-11,167.24000549,167.45799255,163.22000122,164.36000061,42025500,4,,,,,,,,,,,-0.01427375,,,,,
2025-09-12,165.3500061,171.52999878,164.00999451,171.42999268,54498500,5,,,,,,,,,,,0.04301528,,,,,
2025-09-15,169.6000061,171.80000305,167.41000366,171.21000671,45396100,6,,,,,,,,,,,-0.00128324,0.09679693,,,,
2025-09-16,171.03999329,171.30999756,168.96000671,170.25999451,34598700,7,,,,,,,,,,,-0.00554881,0.04865727,,,,
2025-09-17,169.02000427,169.67999268,161.27000427,168.33000183,69255500,8,,,,,,,,,,,-0.01133556,0.00953578,,,,
2025-09-18,170.27000427,178.80000305,169.38999939,176.97000122,70768600,9,,,,,,,,,,,0.05132774,0.07672183,,,,
2025-09-19,177.07000732,184.41999817,176.71000671,182.38999939,109129900,10,,,,,,,,,,,0.03062665,0.06393284,,,,
2025-09-22,180.88000488,182.25,178.28999329,179.33000183,45916700,11,,,,,,,,,,,-0.01677722,0.04742711,,,,
2025-09-23,182.50999451,185.75,177.00999451,182.55000305,62354800,12,,,,,,,,,,,0.01795573,0.07218377,,,,
2025-09-24,183.91000366,184.8500061,177.11999512,179.55999756,45379700,13,,,,,,,,,,,-0.0163791,0.06671417,,,,
2025-09-25,175.80000305,184.32000732,174.28999329,179.11999512,72321200,14,,,,,,,,,,,-0.00245045,0.01214892,,,,
2025-09-26,179.05000305,180.11999512,174.91000366,177.57000732,44275800,15,,,,72.12946857,,,,,,,-0.00865335,-0.02642684,,,,rsi_overbought
2025-09-29,179.63999939,181.47999573,177.16000366,178.86000061,38413800,16,,,,72.90540077,,,,,,,0.0072647,-0.00262087,,,,rsi_overbought
