date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-10,467.98999023,468.04000854,446.52999878,449.98001099,2560300,1,,,,,,,,,,,,,,,,
2025-09-11,451.16000366,463.04998779,449.75,455.8500061,2182300,2,,,,,,,,,,,0.01304501,,,,,
2025-09-12,453.19000244,454.1499939,448.1499939,449.67999268,2219100,3,,,,,,,,,,,-0.01353518,,,,,
2025-09-15,449.29000854,450.57998657,433.01998901,433.98999023,3474800,4,,,,,,,,,,,-0.03489148,,,,,
2025-09-16,433.6499939,437.17001343,429.72000122,434.5,2940500,5,,,,,,,,,,,0.00117516,,,,,
2025-09-17,434.6000061,438.79000854,430.58999634,433.66000366,1638200,6,,,,,,,,,,,-0.00193325,-0.03626829,,,,
2025-09-18,435,436.32998657,429.79998779,435.82998657,1980600,7,,,,,,,,,,,0.00500388,-0.043918,,,,
2025-09-19,439.45999146,440.5,434.73999023,438.72000122,3780700,8,,,,,,,,,,,0.00663106,-0.02437287,,,,
2025-09-22,438.11999512,447.13000488,433.80999756,444.54998779,2653100,9,,,,,,,,,,,0.01328863,0.02433235,,,,
2025-09-23,444.75,450.98999023,443.17001343,447.75,2241500,10,,,,,,,,,,,0.00719832,0.03049482,,,,
2025-09-24,450.94000244,451.33999634,443.54998779,443.98999023,2437200,11,,,,,,,,,,,-0.00839757,0.02382047,,,,
2025-09-25,440.39001465,442.17001343,433.42999268,438.11999512,3129000,12,,,,,,,,,,,-0.01322101,0.00525436,,,,
2025-09-26,441.42999268,443.45999146,438.5,441.11999512,1940500,13,,,,,,,,,,,0.00684744,0.00547045,,,,
2025-09-29,442.05999756,443.26000977,437.76998901,439.22000122,3024400,14,,,,,,,,,,,-0.0043072,-0.01198962,,,,
2025-09-30,439,448.19000244,438,447.23001099,2134200,15,,,,47.90747293,,,,,,,0.0182369,-0.00116134,,,,
2025-10-01,447,448.30999756,430.33999634,438.04000854,2502300,16,,,,41.63639977,,,,,,,-0.02054872,-0.01340116,,,,
2025-10-02,437.11999512,443.35998535,433,443.01000977,1910800,17,,,,45.77066588,,,,,,,0.011346,0.01116136,,,,
2025-10-03,443.8500061,456.58999634,443.48999023,452.3500061,2197700,18,,,,52.57024634,,,,,,,0.02108304,0.02545795,,,,
2025-10-06,459.70999146,460.29998779,449.07998657,449.69000244,2478900,19,,,,50.62345313,,,,,,,-0.00588041,0.02383772,,,,
2025-10-07,449.23999023,451,439.47000122,440.94000244,1917500,20,442.91100006,,,44.75251194,442.91100006,455.6797089,430.14229122,,,,-0.01945785,-0.01406437,,-1.00787778,,
2025-10-08,442.30999756,450.52999878,439.42001343,448.08999634,1767300,21,442.81649933,,,49.86870783,442.81649933,455.40118928,430.23180937,,,,0.01621534,0.02294308,-0.00420022,-1.16726197,0.22971572,
2025-10-09,447.76000977,450.29000854,443.26000977,443.76000977,1583800,22,442.21199951,,,47.02843095,442.21199951,453.30777906,431.11621997,,,,-0.00966321,0.00169296,-0.02652187,-1.37240749,0.22675242,
2025-10-10,444.05999756,446.98999023,429.25,429.58999634,2773400,23,441.20749969,,,39.16670356,441.20749969,453.03074175,429.38425764,,,,-0.0319317,-0.05031504,-0.04467621,0.58312093,0.24732039,
2025-10-13,432.42999268,438.1000061,430,435.73001099,1863200,24,441.29450073,,,43.5688099,441.29450073,452.92810997,429.6608915,,,,0.01429273,-0.03104359,0.00400936,-0.86409688,0.2226106,
2025-10-14,430.29998779,439.20999146,427.83999634,436.39001465,2085700,25,441.38900146,,,44.03759861,441.38900146,452.82940753,429.9485954,,,,0.00151471,-0.01031884,0.00434986,-0.39868828,0.22263061,
2025-10-15,437,440.82000732,432.77999878,435.60998535,1910700,26,441.48650055,,,43.57685106,441.48650055,452.69260562,430.28039548,,,,-0.00178746,-0.02785157,0.00449657,-0.76554197,0.22261267,
2025-10-16,438.47000122,439.48999023,433.80999756,434.61999512,1966400,27,441.42600098,,,42.96247627,441.42600098,452.76587308,430.08612887,,,,-0.00227265,-0.02059675,-0.00277629,-0.65832378,0.2221077,
2025-10-17,437.17001343,449.08999634,434.57000732,446.13000488,2209200,28,441.79650116,,,51.52036018,441.79650116,453.24222793,430.35077439,,,,0.02648293,0.03850185,0.01689005,-0.06636902,0.23955553,
2025-10-20,452.5,461.82998657,451.3500061,458.47000122,3410000,29,442.49250183,,,58.6785794,442.49250183,456.02585976,428.9591439,,,,0.02766009,0.05218826,0.03131259,2.38932405,0.25362765,bollinger_above_upper|volume_anomaly
2025-10-21,459.47000122,466.98001099,456.30999756,462.73999023,4779600,30,443.24200134,,,60.83361999,443.24200134,459.28471553,427.19928715,,,,0.00931356,0.06038171,0.03347848,3.28680792,0.25431327,bollinger_above_upper|volume_anomaly
2025-10-22,543,549.84997559,522.16998291,527.0300293,8347500,31,447.3940033,,,78.7788883,447.3940033,487.29872765,407.48927894,,,,0.1389334,0.20986673,0.18703133,3.80614104,0.53547017,bollinger_above_upper|rsi_overbought|volume_anomaly
2025-10-23,525.36999512,552.5,525.08001709,551.29998779,4011300,32,453.05300293,,,82.11108449,453.05300293,513.10613937,392.99986649,,,,0.04605043,0.26846439,0.25833104,0.84157357,0.54348568,bollinger_above_upper|rsi_overbought
2025-10-24,547.63000488,552.45001221,541.46002197,546.51000977,2692300,33,458.32250366,,,79.45919298,458.32250366,530.52826336,386.11674396,,,,-0.00868851,0.22500169,0.23891462,-0.05738998,0.54801881,bollinger_above_upper|rsi_overbought
2025-10-27,544.75,551.63000488,538.75,551.25,2135500,34,463.9240036,,,80.14263883,463.9240036,546.03543595,381.81257125,23.97483492,7.90825293,16.06658199,0.0086732,0.20236875,0.25506579,-0.39787336,0.54518489,bollinger_above_upper|rsi_overbought
2025-10-28,546.61999512,552.20001221,539,545.39001465,1586400,35,468.83200378,,,76.74302725,468.83200378,557.81255095,379.85145662,26.22547752,11.57169785,14.65377967,-0.01063036,0.17861008,0.21948438,-0.73713979,0.5501352,rsi_overbought
2025-10-29,543,544.95001221,534.45001221,537.59002686,1721800,36,473.8095047,,,72.34406108,473.8095047,566.40723396,381.21177543,27.0677144,14.67090116,12.39681324,-0.01430167,0.0200368,0.22726239,-0.61638697,0.54609752,rsi_overbought
2025-10-30,534.36999512,538,529.30999756,530.02001953,1777000,37,478.16000519,,,68.25491447,478.16000519,572.71599212,383.60401825,26.81524739,17.09977041,9.71547699,-0.01408138,-0.03859962,0.19640642,-0.57470801,0.55284926,
2025-10-31,528.63000488,538.14001465,526.20001221,534.2800293,1757600,38,482.25650635,,,69.30633751,482.25650635,579.05717571,385.45583699,26.65168858,19.01015404,7.64153454,0.00803745,-0.02237833,0.18112086,-0.5694634,0.55126816,
2025-11-03,532.05999756,544.84002686,527.59997559,544.21002197,2075000,39,486.98250732,,,71.66240133,486.98250732,586.1619479,387.80306675,27.01195743,20.61051472,6.40144271,0.01858575,-0.01277094,0.21018928,-0.35024863,0.54948545,rsi_overbought
2025-11-04,545.09002686,546,535.40002441,538.82000732,1780200,40,491.87650757,,,68.58493867,491.87650757,591.14482733,392.60818781,26.5564181,21.7996954,4.75672271,-0.00990429,-0.01204644,0.22198032,-0.53461617,0.54396636,
2025-11-05,538,552,536.15002441,548.54998779,2863400,41,496.89950714,,,71.00553948,496.89950714,596.96049938,396.8385149,26.6730576,22.77436784,3.89868976,0.01805794,0.02038721,0.22419601,0.12753731,0.54424226,rsi_overbought
2025-11-06,547.0300293,548.54998779,538.07000732,547.7800293,2052500,42,502.10050812,,,70.54233248,502.10050812,601.3829577,402.81805854,26.39905417,23.4993051,2.89974906,-0.00140363,0.03350819,0.23440602,-0.4164198,0.54108609,rsi_overbought
2025-11-07,543.23999023,562.65002441,541.73999023,560,2712200,43,508.6210083,,,73.49734786,508.6210083,605.08785479,412.15416181,26.85834767,24.17111362,2.68723405,0.02230817,0.04813949,0.30356853,0.01654534,0.51877812,rsi_overbought
2025-11-10,560,578.29998779,560,576.20001221,3070200,44,515.64450836,,,76.81745676,515.64450836,610.2980826,420.99093412,28.20442363,24.97777562,3.22664801,0.02892859,0.05878243,0.32237853,0.21238024,0.52140297,rsi_overbought
