date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-22,438.11999512,447.13000488,433.80999756,444.54998779,2653100,1,,,,,,,,,,,,,,,,
2025-09-23,444.75,450.98999023,443.17001343,447.75,2241500,2,,,,,,,,,,,0.00719832,,,,,
2025-09-24,450.94000244,451.33999634,443.54998779,443.98999023,2437200,3,,,,,,,,,,,-0.00839757,,,,,
2025-09-25,440.39001465,442.17001343,433.42999268,438.11999512,3129000,4,,,,,,,,,,,-0.01322101,,,,,
2025-09-26,441.42999268,443.45999146,438.5,441.11999512,1940500,5,,,,,,,,,,,0.00684744,,,,,
2025-09-29,442.05999756,443.26000977,437.76998901,439.22000122,3024400,6,,,,,,,,,,,-0.0043072,-0.01198962,,,,
2025-09-30,439,448.19000244,438,447.23001099,2134200,7,,,,,,,,,,,0.0182369,-0.00116134,,,,
2025-10-01,447,448.30999756,430.33999634,438.04000854,2502300,8,,,,,,,,,,,-0.02054872,-0.01340116,,,,
2025-10-02,437.11999512,443.35998535,433,443.01000977,1910800,9,,,,,,,,,,,0.011346,0.01116136,,,,
2025-10-03,443.8500061,456.58999634,443.48999023,452.3500061,2197700,10,,,,,,,,,,,0.02108304,0.02545795,,,,
2025-10-06,459.70999146,460.29998779,449.07998657,449.69000244,2478900,11,,,,,,,,,,,-0.00588041,0.02383772,,,,
2025-10-07,449.23999023,451,439.47000122,440.94000244,1917500,12,,,,,,,,,,,-0.01945785,-0.01406437,,,,
2025-10-08,442.30999756,450.52999878,439.42001343,448.08999634,1767300,13,,,,,,,,,,,0.01621534,0.02294308,,,,
2025-10-09,447.76000977,450.29000854,443.26000977,443.76000977,1583800,14,,,,,,,,,,,-0.00966321,0.00169296,,,,
2025-10-10,444.05999756,446.98999023,429.25,429.58999634,2773400,15,,,,41.33256762,,,,,,,-0.0319317,-0.05031504,,,,
2025-10-13,432.42999268,438.1000061,430,435.73001099,1863200,16,,,,45.50777226,,,,,,,0.01429273,-0.03104359,,,,
2025-10-14,430.29998779,439.20999146,427.83999634,436.39001465,2085700,17,,,,45.95303221,,,,,,,0.00151471,-0.01031884,,,,
2025-10-15,437,440.82000732,432.77999878,435.60998535,1910700,18,,,,45.4800452,,,,,,,-0.00178746,-0.02785157,,,,
2025-10-16,438.47000122,439.48999023,433.80999756,434.61999512,1966400,19,,,,44.8490974,,,,,,,-0.00227265,-0.02059675,,,,
2025-10-17,437.17001343,449.08999634,434.57000732,446.13000488,2209200,20,441.79650116,,,53.01110891,441.79650116,453.24222793,430.35077439,,,,0.02648293,0.03850185,,-0.06636902,,
2025-10-20,452.5,461.82998657,451.3500061,458.47000122,3410000,21,442.49250183,,,59.86843358,442.49250183,456.02585976,428.9591439,,,,0.02766009,0.05218826,0.03131259,2.38932405,0.25362765,bollinger_above_upper|volume_anomaly
2025-10-21,459.47000122,466.98001099,456.30999756,462.73999023,4779600,22,443.24200134,,,61.93830809,443.24200134,459.28471553,427.19928715,,,,0.00931356,0.06038171,0.03347848,3.28680792,0.25431327,bollinger_above_upper|volume_anomaly
2025-10-22,543,549.84997559,522.16998291,527.0300293,8347500,23,447.3940033,,,79.27256179,447.3940033,487.29872765,407.48927894,,,,0.1389334,0.20986673,0.18703133,3.80614104,0.53547017,bollinger_above_upper|rsi_overbought|volume_anomaly
2025-10-23,525.36999512,552.5,525.08001709,551.29998779,4011300,24,453.05300293,,,82.510726,453.05300293,513.10613937,392.99986649,,,,0.04605043,0.26846439,0.25833104,0.84157357,0.54348568,bollinger_above_upper|rsi_overbought
2025-10-24,547.63000488,552.45001221,541.46002197,546.51000977,2692300,25,458.32250366,,,79.859014,458.32250366,530.52826336,386.11674396,,,,-0.00868851,0.22500169,0.23891462,-0.05738998,0.54801881,bollinger_above_upper|rsi_overbought
2025-10-27,544.75,551.63000488,538.75,551.25,2135500,26,463.9240036,,,80.52597476,463.9240036,546.03543595,381.81257125,,,,0.0086732,0.20236875,0.25506579,-0.39787336,0.54518489,bollinger_above_upper|rsi_overbought
2025-10-28,546.61999512,552.20001221,539,545.39001465,1586400,27,468.83200378,,,77.12563679,468.83200378,557.81255095,379.85145662,,,,-0.01063036,0.17861008,0.21948438,-0.73713979,0.5501352,rsi_overbought
2025-10-29,543,544.95001221,534.45001221,537.59002686,1721800,28,473.8095047,,,72.7236968,473.8095047,566.40723396,381.21177543,,,,-0.01430167,0.0200368,0.22726239,-0.61638697,0.54609752,rsi_overbought
2025-10-30,534.36999512,538,529.30999756,530.02001953,1777000,29,478.16000519,,,68.62972654,478.16000519,572.71599212,383.60401825,,,,-0.01408138,-0.03859962,0.19640642,-0.57470801,0.55284926,
2025-10-31,528.63000488,538.14001465,526.20001221,534.2800293,1757600,30,482.25650635,,,69.66466957,482.25650635,579.05717571,385.45583699,,,,0.00803745,-0.02237833,0.18112086,-0.5694634,0.55126816,
2025-11-03,532.05999756,544.84002686,527.59997559,544.21002197,2075000,31,486.98250732,,,71.98481225,486.98250732,586.1619479,387.80306675,,,,0.01858575,-0.01277094,0.21018928,-0.35024863,0.54948545,rsi_overbought
2025-11-04,545.09002686,546,535.40002441,538.82000732,1780200,32,491.87650757,,,68.90419782,491.87650757,591.14482733,392.60818781,,,,-0.00990429,-0.01204644,0.22198032,-0.53461617,0.54396636,
2025-11-05,538,552,536.15002441,548.54998779,2863400,33,496.89950714,,,71.29254708,496.89950714,596.96049938,396.8385149,,,,0.01805794,0.02038721,0.22419601,0.12753731,0.54424226,rsi_overbought
2025-11-06,547.0300293,548.54998779,538.07000732,547.7800293,2052500,34,502.10050812,,,70.82894341,502.10050812,601.3829577,402.81805854,27.96903431,24.88220164,3.08683268,-0.00140363,0.03350819,0.23440602,-0.4164198,0.54108609,rsi_overbought
2025-11-07,543.23999023,562.65002441,541.73999023,560,2712200,35,508.6210083,,,73.74685183,508.6210083,605.08785479,412.15416181,28.7026383,25.64628897,3.05634933,0.02230817,0.04813949,0.30356853,0.01654534,0.51877812,rsi_overbought
