date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-17,27.29999924,28.23999977,26.47999954,26.96999931,1720500,1,,,,,,,,,,,,,,,,
2025-09-18,27.62000084,28.45999908,27.57999992,27.95000076,1632100,2,,,,,,,,,,,0.03633673,,,,,
2025-09-19,28.07999992,28.57999992,27.72999954,27.88999939,2856600,3,,,,,,,,,,,-0.00214674,,,,,
2025-09-22,27.75,28.59000015,27.21999931,27.80999947,1338300,4,,,,,,,,,,,-0.00286841,,,,,
2025-09-23,27.87000084,28.71999931,27.60000038,27.63999939,1247800,5,,,,,,,,,,,-0.00611291,,,,,
2025-09-24,27.73999977,28.14999962,26.71999931,27.02000046,1294300,6,,,,,,,,,,,-0.02243122,0.00185395,,,,
2025-09-25,26.57999992,27.28000069,26.20000076,26.75,1431000,7,,,,,,,,,,,-0.00999261,-0.04293384,,,,
2025-09-26,26.93000031,27.01000023,26.34000015,26.90999985,1246900,8,,,,,,,,,,,0.0059813,-0.03513803,,,,
2025-09-29,27.04000092,27.52000046,26.65999985,27,1260700,9,,,,,,,,,,,0.00334449,-0.02912619,,,,
2025-09-30,27.20000076,28.32999992,26.80999947,28.13999939,1448300,10,,,,,,,,,,,0.0422222,0.01808973,,,,
2025-10-01,28.15999985,29.87999916,28.10000038,29.26000023,1950800,11,,,,,,,,,,,0.03980103,0.08290154,,,,
2025-10-02,29.44000053,31.28000069,28.88999939,30.68000031,2108600,12,,,,,,,,,,,0.04853042,0.1469159,,,,
2025-10-03,31.04000092,33.11999893,30.69000053,31.06999969,1965500,13,,,,,,,,,,,0.01271184,0.15458937,,,,
2025-10-06,31.56999969,32.99000168,30.86000061,31.85000038,2389900,14,,,,,,,,,,,0.02510462,0.17962964,,,,
2025-10-07,32.13999939,33.50999832,31.03000069,31.12000084,2942900,15,,,,75.90512122,,,,,,,-0.02291992,0.10589913,,,,rsi_overbought
2025-10-08,31.20000076,33.99000168,30.64999962,32.79000092,2439900,16,,,,80.32311325,,,,,,,0.05366324,0.12064254,,,,rsi_overbought
2025-10-09,32.75,33.52000046,31.81999969,31.88999939,1513300,17,,,,72.59749481,,,,,,,-0.02744744,0.03943934,,,,rsi_overbought
2025-10-10,33.31999969,33.86000061,29.98999977,31.19000053,2521200,18,,,,67.18492712,,,,,,,-0.02195042,0.00386227,,,,
2025-10-13,31.10000038,31.62000084,29.39999962,30.13999939,1617600,19,,,,59.96316203,,,,,,,-0.03366467,-0.0536892,,,,
2025-10-14,29.54000092,31.39999962,29,30.54999924,1350100,20,29.23099995,,,61.69461212,29.23099995,33.1743689,25.28763099,,,,0.01360318,-0.01831625,,-0.85927793,,
