date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-15,115.34500122,116.52999878,112.42500305,114.83000183,36787500,1,,,,,,,,,,,,,,,,
2025-09-16,115.05999756,118.12999725,113.79000092,117.37999725,36628500,2,,,,,,,,,,,0.0222067,,,,,
2025-09-17,117.08999634,119.12999725,114.88999939,118.63999939,34516600,3,,,,,,,,,,,0.01073439,,,,,
2025-09-18,120.08000183,124.36000061,119.85900116,120.91000366,35865100,4,,,,,,,,,,,0.01913355,,,,,
2025-09-19,121.69999695,125.18000031,121,124.77999878,202388400,5,,,,,,,,,,,0.03200724,,,,,
2025-09-22,123.625,126.63999939,122.19999695,124.88999939,33482600,6,,,,,,,,,,,0.00088156,0.08760775,,,,
2025-09-23,125.41000366,127.77999878,124.06999969,126.19999695,28923500,7,,,,,,,,,,,0.01048921,0.07514057,,,,
2025-09-24,127.51499939,130.07000732,125,126.80000305,26956400,8,,,,,,,,,,,0.00475441,0.06877953,,,,
2025-09-25,123.33000183,125.80000305,120.62000275,122.65000153,32876000,9,,,,,,,,,,,-0.03272872,0.01439085,,,,
2025-09-26,124.18000031,125.05999756,120.45999908,121.77999878,25714800,10,,,,,,,,,,,-0.00709338,-0.02404231,,,,
2025-09-29,123.77999878,136.83999634,123.77999878,136.72000122,62109900,11,,,,,,,,,,,0.12268026,0.09472337,,,,
2025-09-30,135.66999817,143.61999512,135.57000732,143.17999268,50851200,12,,,,,,,,,,,0.04724979,0.13454831,,,,
2025-10-01,141.25999451,143.16999817,137.77999878,139.13999939,34759600,13,,,,,,,,,,,-0.02821619,0.09731858,,,,
2025-10-02,142.77999878,146.69999695,140.1499939,145.69999695,34579900,14,,,,,,,,,,,0.04714674,0.1879331,,,,
2025-10-03,146.82000732,150.21000671,145.22999573,148.66999817,34531700,15,,,,82.56351222,,,,,,,0.02038436,0.22080801,,,,rsi_overbought
2025-10-06,153,153.86000061,144.1190033,144.25999451,28117000,16,,,,75.64905536,,,,,,,-0.02966304,0.05514916,,,,rsi_overbought
2025-10-07,146.33000183,147.11999512,141.25999451,145,24867400,17,,,,76.01208583,,,,,,,0.00512967,0.01271132,,,,rsi_overbought
2025-10-08,146.11000061,151.3500061,144.55000305,150.86999512,23927600,18,,,,78.72194471,,,,,,,0.04048272,0.08430355,,,,rsi_overbought
2025-10-09,150.50999451,153.08000183,147.30000305,152.46000671,19633000,19,,,,79.40076152,,,,,,,0.01053895,0.04639677,,,,rsi_overbought
2025-10-10,151.50500488,153.55999756,138.94000244,138.96000671,41634300,20,133.1909996,,,61.46989468,133.1909996,157.45273706,108.92926215,,,,-0.08854781,-0.06531238,,-0.0217522,,
2025-10-13,144.61999512,146.55999756,136.52000427,140.67999268,28260800,21,134.48349915,,,62.62787254,134.48349915,157.41255145,111.55444684,,,,0.01237756,-0.02481632,0.2251153,-0.36279865,0.63698606,
2025-10-14,136.72000122,141.21000671,133.05000305,134.94999695,31171000,22,135.36199913,,,56.532347,135.36199913,156.90711364,113.81688462,,,,-0.04073071,-0.06931037,0.14968479,-0.27851515,0.65983916,
2025-10-15,138.09500122,139.6499939,133.53500366,134.1499939,22187000,23,136.13749886,,,55.71698006,136.13749886,156.29078882,115.98420889,,,,-0.00592814,-0.1108239,0.13073158,-0.49587151,0.66143788,
2025-10-16,135.38000488,137.47999573,130.57000732,131.44000244,23359400,24,136.66399879,,,52.93191926,136.66399879,155.7187688,117.60922878,,,,-0.0202012,-0.13787225,0.08708956,-0.44670379,0.66634104,
