date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-18,715,745,711.34002686,734.11999512,2514700,1,,,,,,,,,,,,,,,,
2025-09-19,730.91998291,738.86999512,728.16497803,734.91998291,1545800,2,,,,,,,,,,,0.00108972,,,,,
2025-09-22,730.25,740.20098877,726.7199707,738.5300293,988800,3,,,,,,,,,,,0.00491216,,,,,
2025-09-23,736.14001465,740,716.84997559,718.94000244,991800,4,,,,,,,,,,,-0.0265257,,,,,
2025-09-24,715.34997559,719.73999023,699.32000732,708.65002441,1405500,5,,,,,,,,,,,-0.01431271,,,,,
2025-09-25,698.76000977,719.75,695.9699707,712.61999512,1238200,6,,,,,,,,,,,0.00560216,-0.02928677,,,,
2025-09-26,712.61999512,716.5300293,704.44000244,716.5300293,1198600,7,,,,,,,,,,,0.00548684,-0.02502307,,,,
2025-09-29,726.90997314,740,720.27502441,728.4699707,965500,8,,,,,,,,,,,0.01666356,-0.01362173,,,,
2025-09-30,705.26000977,711,677.98999023,698,4130600,9,,,,,,,,,,,-0.04182735,-0.02912622,,,,
2025-10-01,699.5,721.66998291,697.7800293,700.67999268,2172300,10,,,,,,,,,,,0.00383953,-0.01124678,,,,
2025-10-02,700,716.85998535,698.48999023,707.29998779,1347000,11,,,,,,,,,,,0.00944796,-0.00746542,,,,
2025-10-03,706.44000244,708.54998779,680.23999023,680.5,1731800,12,,,,,,,,,,,-0.03789055,-0.05028405,,,,
2025-10-06,684.27001953,698.84997559,675.45001221,680.2800293,1289500,13,,,,,,,,,,,-0.00032325,-0.06615227,,,,
2025-10-07,679.97998047,683,670.5,680.44000244,1255500,14,,,,,,,,,,,0.00023516,-0.02515759,,,,
2025-10-08,689.38000488,696.5,673.5,674.75,1431600,15,,,,26.57986103,,,,,,,-0.00836224,-0.0370069,,,,rsi_oversold
2025-10-09,673.70001221,675.03997803,666,673.65997314,1164700,16,,,,26.33595452,,,,,,,-0.00161545,-0.04756117,,,,rsi_oversold
2025-10-10,673.7199707,689.54998779,670,685.28997803,1377300,17,,,,33.36213272,,,,,,,0.01726391,0.00703891,,,,
2025-10-13,680.08001709,694.9699707,675.26501465,692.03997803,1039000,18,,,,37.11138109,,,,,,,0.00984984,0.01728692,,,,
2025-10-14,684.76000977,700.11999512,674.93902588,683.51000977,1214600,19,,,,34.47191065,,,,,,,-0.01232583,0.0045118,,,,
2025-10-15,689.84002686,689.84002686,670.80999756,671.29998779,1103700,20,701.02649841,,,31.06589054,701.02649841,744.47727538,657.57572145,,,,-0.01786371,-0.00511302,,-0.56401544,,
2025-10-16,671.79998779,679.03997803,661,664.46002197,1293500,21,697.54349976,,,29.31828815,697.54349976,740.99267046,654.09432905,,,,-0.01018913,-0.01365667,-0.09488908,-0.223599,0.2543847,rsi_oversold
2025-10-17,660,675.34997559,656.25,671.52001953,1200900,22,694.37350159,,,33.47796553,694.37350159,735.6491468,653.09785638,,,,0.01062517,-0.02009362,-0.08626785,-0.3345681,0.25927865,
2025-10-20,670.13000488,682.25,667.5,675.5300293,1077500,23,691.22350159,,,35.78941693,691.22350159,727.89834841,654.54865477,,,,0.00597154,-0.02385693,-0.08530459,-0.52573905,0.25978156,
2025-10-21,685,696.95001221,682.4699707,689.21002197,1540900,24,689.73700256,,,43.05840548,689.73700256,724.13722942,655.3367757,,,,0.02025075,0.00833933,-0.04135252,0.12312297,0.25979442,
2025-10-22,680,686.67999268,656.51000977,675.61999512,1683100,25,688.0855011,,,38.40687877,688.0855011,721.86098452,654.31001768,,,,-0.01971827,0.00643529,-0.04660979,0.31504626,0.26367351,
2025-10-23,680,683.96002197,668.01000977,673.85998535,1294700,26,686.14750061,,,37.83680445,686.14750061,718.48702252,653.8079787,,,,-0.00260503,0.01414677,-0.05439085,-0.27136992,0.26212067,
2025-10-24,676.20001221,676.66998291,644.83001709,645.7800293,2131500,27,682.61000061,,,30.14816675,682.61000061,716.33055799,648.88944323,,,,-0.04167031,-0.03833094,-0.09873976,0.89832467,0.29266274,bollinger_below_lower
2025-10-27,648.44000244,661.53997803,640.40002441,657.79998779,2317000,28,679.07650146,,,36.1311183,679.07650146,707.17656377,650.97643916,,,,0.01861308,-0.02624612,-0.09701153,1.05903035,0.29455356,
2025-10-28,660.92999268,669.70001221,653.17999268,653.42999268,1600200,29,676.8480011,,,34.95877045,676.8480011,705.65212527,648.04387693,,,,-0.00664335,-0.05191455,-0.06385388,0.37578501,0.26239577,
