date,adjusted_open,adjusted_high,adjusted_low,adjusted_close,volume,observation_count,sma_20,sma_50,sma_200,rsi_14,bollinger_mid,bollinger_upper,bollinger_lower,macd,macd_signal,macd_histogram,return_1d,return_5d,return_20d,volume_zscore,volatility_20d,trigger_state
2025-09-10,8.47000027,8.56999969,8.18999958,8.30000019,4836700,1,,,,,,,,,,,,,,,,
2025-09-11,8.27999973,8.65999985,8.21000004,8.52000046,4568100,2,,,,,,,,,,,0.02650606,,,,,
2025-09-12,8.5,8.93999958,8.45499992,8.77999973,4628100,3,,,,,,,,,,,0.03051635,,,,,
2025-09-15,9.125,9.41499996,8.84000015,9.03999996,8779100,4,,,,,,,,,,,0.02961278,,,,,
2025-09-16,9,9.21000004,8.72500038,9.14999962,4803600,5,,,,,,,,,,,0.0121681,,,,,
2025-09-17,9.07999992,9.60000038,8.99499989,9.27999973,7095100,6,,,,,,,,,,,0.01420766,0.11807223,,,,
2025-09-18,9.5,9.76000023,9.42000008,9.57999992,7806600,7,,,,,,,,,,,0.03232761,0.12441308,,,,
2025-09-19,9.69999981,9.97700024,9.52000046,9.71000004,8423400,8,,,,,,,,,,,0.01356995,0.10592259,,,,
2025-09-22,9.56000042,10.15999985,9.32999992,10.13000011,9954500,9,,,,,,,,,,,0.04325438,0.12057524,,,,
2025-09-23,10.32999992,10.80000019,10.05000019,10.35999966,10710600,10,,,,,,,,,,,0.02270479,0.13224045,,,,
2025-09-24,10.5,10.71000004,9.96000004,9.98999977,7628400,11,,,,,,,,,,,-0.03571428,0.07650863,,,,
2025-09-25,9.64000034,10.40999985,9.44499969,10.10000038,7625400,12,,,,,,,,,,,0.01101107,0.0542798,,,,
2025-09-26,10.02999973,10.55000019,10,10.07999992,5290700,13,,,,,,,,,,,-0.00198024,0.03810503,,,,
2025-09-29,10.22000027,10.56499958,9.97000027,10.26000023,6189600,14,,,,,,,,,,,0.01785717,0.01283318,,,,
2025-09-30,10.19999981,10.55000019,10,10.52000046,5305100,15,,,,86.99999269,,,,,,,0.02534115,0.01544409,,,,rsi_overbought
2025-10-01,10.57499981,11.17000008,10.47999954,10.60999966,8223800,16,,,,87.40684472,,,,,,,0.00855506,0.06206205,,,,rsi_overbought
2025-10-02,10.85999966,11.43000031,10.75,11.22000027,9797300,17,,,,89.74864775,,,,,,,0.05749299,0.11089107,,,,rsi_overbought
2025-10-03,11.48999977,11.67000008,11.14999962,11.43999958,7110600,18,,,,90.43918403,,,,,,,0.01960778,0.1349206,,,,rsi_overbought
2025-10-06,11.65999985,12.40999985,11.60000038,11.97999954,10824800,19,,,,91.88425965,,,,,,,0.0472028,0.16764125,,,,rsi_overbought
2025-10-07,12.11999989,12.52999973,11.51000023,11.78999996,8190000,20,10.04199996,,,86.90696017,10.04199996,12.06764146,8.01635846,,,,-0.01585973,0.12072238,,0.40280279,,rsi_overbought
2025-10-08,12,12.93000031,11.93999958,12.47999954,12047900,21,10.25099993,,,89.19584668,10.25099993,12.37475963,8.12724022,,,,0.05852414,0.17624882,0.50361437,2.00868356,0.35167226,bollinger_above_upper|rsi_overbought|volume_anomaly
2025-10-09,12.47500038,13.02999973,12.22999954,12.73999977,8715000,22,10.46199989,,,89.91152657,10.46199989,12.69180337,8.23219641,,,,0.02083335,0.13547232,0.49530506,0.37525154,0.35106887,bollinger_above_upper|rsi_overbought
