issue_id,status,severity,title,description,owner,first_seen_at,last_seen_at,related_run_id,related_operation_id,resolution,resolved_at
issue_0367496037d0e3f45ccb,resolved,warning,Daily preparation degraded: security_fb87fac302a5446a1ced,security_fb87fac302a5446a1ced: price cache is empty,deterministic-controller,2026-07-26T18:41:33Z,2026-07-26T19:18:37Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:37Z
issue_0452943dbcb7cbcd404b,open,warning,Daily preparation degraded: security_ad3b1f8f59fd599f079a,security_ad3b1f8f59fd599f079a: price cache is empty,deterministic-controller,2026-07-29T14:29:29Z,2026-07-29T14:29:29Z,youtube-bootstrap-20260729,,,
issue_05916ac0101e1208ba48,resolved,warning,Telegram delivery failed: 652155c2a4110d78a21122cbe9f2860b56adc724,"report=data/wiki/daily-reports/daily-report_20260725.md commit=652155c2a4110d78a21122cbe9f2860b56adc724 next_chunk=0 total_chunks=3 error=Telegram HTTP 401: {""ok"":false,""error_code"":401,""description"":""Unauthorized""}",delivery,2026-07-25T11:41:17Z,2026-07-25T15:13:51Z,local-20260725-daily-02,,Committed report delivered in 3 chunks.,2026-07-25T15:13:51Z
issue_10ff1797ec43b252e279,open,warning,Daily preparation degraded: security_c150f31c30afdb4a85f9,security_c150f31c30afdb4a85f9: price cache is empty,deterministic-controller,2026-07-29T14:29:29Z,2026-07-29T14:29:29Z,youtube-bootstrap-20260729,,,
issue_112dbc198a16c17e54e7,resolved,warning,Daily preparation degraded: classifier blocked for data/wiki/inbox/market-security_f2b9760d847b2ba59324-bollinger_below_lower-48b7e8fa112e.md,classifier blocked for data/wiki/inbox/market-security_f2b9760d847b2ba59324-bollinger_below_lower-48b7e8fa112e.md,deterministic-controller,2026-07-27T14:06:24Z,2026-07-27T15:31:12Z,gha-30273371484-1,,Classifier recovered and recorded the final ingest decision.,2026-07-27T15:31:12Z
issue_1285e87ea97cc268036a,open,warning,Daily preparation degraded: security_61567714298b9563d1a9,security_61567714298b9563d1a9: price cache is empty,deterministic-controller,2026-07-29T14:29:29Z,2026-07-29T14:29:29Z,youtube-bootstrap-20260729,,,
issue_1681e7daa698c45f8006,resolved,warning,Daily preparation degraded: security_2dbe878dfc899d7ee867,security_2dbe878dfc899d7ee867: MarketDataError: invalid OHLC range on 2026-07-27 for security_2dbe878dfc899d7ee867,deterministic-controller,2026-07-26T18:30:38Z,2026-07-27T20:23:53Z,gha-30280283355-1,,"A completed-session refresh on 2026-07-27 succeeded after market normalization began excluding unfinished sessions before validation and audibly repairing yfinance OHLC envelopes from the provider-reported open, high, low, and close; FCX is status ok for 2026-07-27.",2026-07-27T20:23:53Z
issue_1ad34e45aa4568f4a522,open,warning,Daily preparation degraded: security_715bde20b6e1e1320c1a,security_715bde20b6e1e1320c1a: price cache is empty,deterministic-controller,2026-07-29T14:29:29Z,2026-07-29T14:29:29Z,youtube-bootstrap-20260729,,,
issue_1bb9022d55d25edce900,resolved,warning,Daily preparation degraded: security_2c779e81c27b78c556bb,security_2c779e81c27b78c556bb: price cache is empty,deterministic-controller,2026-07-26T19:00:28Z,2026-07-26T19:18:39Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:39Z
issue_1bd0406c44f5c1cb29fa,resolved,warning,Daily preparation degraded: security_4b61970aa8f574446819,security_4b61970aa8f574446819: price cache is empty,deterministic-controller,2026-07-26T18:23:00Z,2026-07-26T19:18:40Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:40Z
issue_20b09e9371f8d5b1c303,resolved,warning,Daily preparation degraded: security_22c2b9d782a62d7a9b86,security_22c2b9d782a62d7a9b86: YFTzMissingError: $ATKR: possibly delisted; no timezone found,deterministic-controller,2026-07-26T19:00:28Z,2026-07-26T19:18:40Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:40Z
issue_2873eb4075f12fa65306,open,warning,Daily preparation degraded: security_8a5c43888d224de85c69,security_8a5c43888d224de85c69: price cache is empty,deterministic-controller,2026-07-29T14:29:29Z,2026-07-29T14:29:29Z,youtube-bootstrap-20260729,,,
issue_28b5a9f9299cf97510ab,resolved,error,Local harness operation validation failed: 01KYC8N4FGZWVX9ABGDSRTT465,command audit entry 3 is outside the operation skill scope,controller,2026-07-25T09:19:09Z,2026-07-25T09:23:47Z,local-20260725-solar-reset-01,01KYC8N4FGZWVX9ABGDSRTT465,The local harness now classifies queue validation as a safe read-only command; its regression test passes and the same operation succeeded on its bounded retry.,2026-07-25T09:23:47Z
issue_3135d82d86a9c902250b,open,warning,Daily preparation degraded: security_0cf8075039299094d614,security_0cf8075039299094d614: price cache is empty,deterministic-controller,2026-07-29T14:29:29Z,2026-07-29T14:29:29Z,youtube-bootstrap-20260729,,,
issue_32d1f7843dfa6f6a4bfe,resolved,warning,Daily preparation degraded: security_1c055eb9b2bb1f5a8ff2,security_1c055eb9b2bb1f5a8ff2: price cache is empty,deterministic-controller,2026-07-26T18:41:33Z,2026-07-26T19:18:41Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:41Z
issue_3387fb684632341a351b,open,warning,Daily preparation degraded: security_1e8fbdb0f45f2b413e00,security_1e8fbdb0f45f2b413e00: price cache is empty,deterministic-controller,2026-07-29T14:29:29Z,2026-07-29T14:29:29Z,youtube-bootstrap-20260729,,,
issue_338b27b21c860e87598b,resolved,warning,Daily preparation degraded: security_18a3ab0ee6086ee85d0f,security_18a3ab0ee6086ee85d0f: price cache is empty,deterministic-controller,2026-07-26T18:30:38Z,2026-07-26T19:18:42Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:42Z
issue_38d1e37f3d5d6e110e08,open,warning,Daily preparation degraded: security_98470cfc01bbcde78fc2,security_98470cfc01bbcde78fc2: price cache is empty,deterministic-controller,2026-07-29T14:29:29Z,2026-07-29T14:29:29Z,youtube-bootstrap-20260729,,,
issue_3a4655b66f410a1836dc,open,warning,Daily preparation degraded: security_9b0db3bc77914b23a307,security_9b0db3bc77914b23a307: price cache is empty,deterministic-controller,2026-07-29T14:29:29Z,2026-07-29T14:29:29Z,youtube-bootstrap-20260729,,,
issue_3cc01f918c960ecd1e86,resolved,warning,Daily preparation degraded: security_4627aea1bf7d8943d3d8,security_4627aea1bf7d8943d3d8: price cache is empty,deterministic-controller,2026-07-26T18:41:33Z,2026-07-26T19:18:42Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:42Z
issue_3dfbaf44b38a480a8aa4,resolved,warning,Daily preparation degraded: security_7ca095d63423c55a90e3,security_7ca095d63423c55a90e3: price cache is empty,deterministic-controller,2026-07-26T19:00:28Z,2026-07-26T19:18:43Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:43Z
issue_4183021e1363fc3aa642,resolved,warning,Daily preparation degraded: classifier blocked for data/wiki/inbox/market-security_59304f90c440def31dc5-bollinger_above_upper-7a832eb2d5ae.md,classifier blocked for data/wiki/inbox/market-security_59304f90c440def31dc5-bollinger_above_upper-7a832eb2d5ae.md,deterministic-controller,2026-07-26T19:02:00Z,2026-07-27T15:31:12Z,local-20260726-cron-02,,Classifier recovered and recorded the final ingest decision.,2026-07-27T15:31:12Z
issue_44fe890b2fbae8cf90a0,resolved,warning,Daily preparation degraded: security_1f9cce545ede94cd6349,security_1f9cce545ede94cd6349: price cache is empty,deterministic-controller,2026-07-26T19:00:28Z,2026-07-26T19:18:44Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:44Z
issue_480200d842887e7fc00b,resolved,error,Hermes operation validation failed: 01KYKMN5GRRR06EH04KA07V2N9,agent result is missing or a symlink: data/runs/local-20260728-daily-all-23/01KYKMN5GRRR06EH04KA07V2N9/agent_result.json,controller,2026-07-28T06:27:30Z,2026-07-28T07:34:33Z,local-20260728-daily-all-23,01KYKMN5GRRR06EH04KA07V2N9,"Resolved after allocation-plan identity was made economic and stable, queue preparation began terminally skipping superseded plan-bound strategy and execution work, baseline order quantity became deterministically derived, and the obsolete execute request was archived as skipped. The current-plan strategy operation then completed successfully under local-20260728-daily-all-23.",2026-07-28T07:34:33Z
issue_4b309fbac75c644b6dc5,resolved,warning,Daily preparation degraded: classifier blocked for data/wiki/inbox/market-security_59304f90c440def31dc5-rsi_overbought-fac3019c4101.md,classifier blocked for data/wiki/inbox/market-security_59304f90c440def31dc5-rsi_overbought-fac3019c4101.md,deterministic-controller,2026-07-27T14:06:24Z,2026-07-27T15:31:12Z,gha-30273371484-1,,Classifier recovered and recorded the final ingest decision.,2026-07-27T15:31:12Z
issue_4cea078fdac19d342c04,open,warning,Daily preparation degraded: security_dfa34d4b9050964b465e,security_dfa34d4b9050964b465e: price cache is empty,deterministic-controller,2026-07-29T14:29:29Z,2026-07-29T14:29:29Z,youtube-bootstrap-20260729,,,
