issue_id,status,severity,title,description,owner,first_seen_at,last_seen_at,related_run_id,related_operation_id,resolution,resolved_at
issue_0367496037d0e3f45ccb,resolved,warning,Daily preparation degraded: security_fb87fac302a5446a1ced,security_fb87fac302a5446a1ced: price cache is empty,deterministic-controller,2026-07-26T18:41:33Z,2026-07-26T19:18:37Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:37Z
issue_05916ac0101e1208ba48,resolved,warning,Telegram delivery failed: 652155c2a4110d78a21122cbe9f2860b56adc724,"report=data/wiki/daily-reports/daily-report_20260725.md commit=652155c2a4110d78a21122cbe9f2860b56adc724 next_chunk=0 total_chunks=3 error=Telegram HTTP 401: {""ok"":false,""error_code"":401,""description"":""Unauthorized""}",delivery,2026-07-25T11:41:17Z,2026-07-25T15:13:51Z,local-20260725-daily-02,,Committed report delivered in 3 chunks.,2026-07-25T15:13:51Z
issue_112dbc198a16c17e54e7,resolved,warning,Daily preparation degraded: classifier blocked for data/wiki/inbox/market-security_f2b9760d847b2ba59324-bollinger_below_lower-48b7e8fa112e.md,classifier blocked for data/wiki/inbox/market-security_f2b9760d847b2ba59324-bollinger_below_lower-48b7e8fa112e.md,deterministic-controller,2026-07-27T14:06:24Z,2026-07-27T15:31:12Z,gha-30273371484-1,,Classifier recovered and recorded the final ingest decision.,2026-07-27T15:31:12Z
issue_1681e7daa698c45f8006,open,warning,Daily preparation degraded: security_2dbe878dfc899d7ee867,security_2dbe878dfc899d7ee867: MarketDataError: invalid OHLC range on 2026-07-27 for security_2dbe878dfc899d7ee867,deterministic-controller,2026-07-26T18:30:38Z,2026-07-27T15:31:12Z,gha-30280283355-1,,,
issue_1bb9022d55d25edce900,resolved,warning,Daily preparation degraded: security_2c779e81c27b78c556bb,security_2c779e81c27b78c556bb: price cache is empty,deterministic-controller,2026-07-26T19:00:28Z,2026-07-26T19:18:39Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:39Z
issue_1bd0406c44f5c1cb29fa,resolved,warning,Daily preparation degraded: security_4b61970aa8f574446819,security_4b61970aa8f574446819: price cache is empty,deterministic-controller,2026-07-26T18:23:00Z,2026-07-26T19:18:40Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:40Z
issue_20b09e9371f8d5b1c303,resolved,warning,Daily preparation degraded: security_22c2b9d782a62d7a9b86,security_22c2b9d782a62d7a9b86: YFTzMissingError: $ATKR: possibly delisted; no timezone found,deterministic-controller,2026-07-26T19:00:28Z,2026-07-26T19:18:40Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:40Z
issue_28b5a9f9299cf97510ab,resolved,error,Local harness operation validation failed: 01KYC8N4FGZWVX9ABGDSRTT465,command audit entry 3 is outside the operation skill scope,controller,2026-07-25T09:19:09Z,2026-07-25T09:23:47Z,local-20260725-solar-reset-01,01KYC8N4FGZWVX9ABGDSRTT465,The local harness now classifies queue validation as a safe read-only command; its regression test passes and the same operation succeeded on its bounded retry.,2026-07-25T09:23:47Z
issue_32d1f7843dfa6f6a4bfe,resolved,warning,Daily preparation degraded: security_1c055eb9b2bb1f5a8ff2,security_1c055eb9b2bb1f5a8ff2: price cache is empty,deterministic-controller,2026-07-26T18:41:33Z,2026-07-26T19:18:41Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:41Z
issue_338b27b21c860e87598b,resolved,warning,Daily preparation degraded: security_18a3ab0ee6086ee85d0f,security_18a3ab0ee6086ee85d0f: price cache is empty,deterministic-controller,2026-07-26T18:30:38Z,2026-07-26T19:18:42Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:42Z
issue_3cc01f918c960ecd1e86,resolved,warning,Daily preparation degraded: security_4627aea1bf7d8943d3d8,security_4627aea1bf7d8943d3d8: price cache is empty,deterministic-controller,2026-07-26T18:41:33Z,2026-07-26T19:18:42Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:42Z
issue_3dfbaf44b38a480a8aa4,resolved,warning,Daily preparation degraded: security_7ca095d63423c55a90e3,security_7ca095d63423c55a90e3: price cache is empty,deterministic-controller,2026-07-26T19:00:28Z,2026-07-26T19:18:43Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:43Z
issue_4183021e1363fc3aa642,resolved,warning,Daily preparation degraded: classifier blocked for data/wiki/inbox/market-security_59304f90c440def31dc5-bollinger_above_upper-7a832eb2d5ae.md,classifier blocked for data/wiki/inbox/market-security_59304f90c440def31dc5-bollinger_above_upper-7a832eb2d5ae.md,deterministic-controller,2026-07-26T19:02:00Z,2026-07-27T15:31:12Z,local-20260726-cron-02,,Classifier recovered and recorded the final ingest decision.,2026-07-27T15:31:12Z
issue_44fe890b2fbae8cf90a0,resolved,warning,Daily preparation degraded: security_1f9cce545ede94cd6349,security_1f9cce545ede94cd6349: price cache is empty,deterministic-controller,2026-07-26T19:00:28Z,2026-07-26T19:18:44Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:44Z
issue_4b309fbac75c644b6dc5,resolved,warning,Daily preparation degraded: classifier blocked for data/wiki/inbox/market-security_59304f90c440def31dc5-rsi_overbought-fac3019c4101.md,classifier blocked for data/wiki/inbox/market-security_59304f90c440def31dc5-rsi_overbought-fac3019c4101.md,deterministic-controller,2026-07-27T14:06:24Z,2026-07-27T15:31:12Z,gha-30273371484-1,,Classifier recovered and recorded the final ingest decision.,2026-07-27T15:31:12Z
issue_51e19c59b425d7011575,resolved,warning,Daily preparation degraded: security_c9a37d277445869a8809,security_c9a37d277445869a8809: price cache is empty,deterministic-controller,2026-07-26T19:00:28Z,2026-07-26T19:18:45Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:45Z
issue_52fa2eca35c0f0d7f8d0,open,warning,Telegram delivery failed: 50e05153546202df24c702aab7f4dd7f20265a5a,"report=data/wiki/daily-reports/daily-report_20260727.md commit=50e05153546202df24c702aab7f4dd7f20265a5a next_chunk=0 total_chunks=1 error=Telegram HTTP 401: {""ok"":false,""error_code"":401,""description"":""Unauthorized""}",delivery,2026-07-27T15:44:45Z,2026-07-27T15:44:45Z,gha-30280283355-1,,,
issue_666586697c8b2cf251b7,resolved,warning,Daily preparation degraded: security_66cdcf90aac0d83e76f3,security_66cdcf90aac0d83e76f3: price cache is empty,deterministic-controller,2026-07-26T18:30:38Z,2026-07-26T19:18:45Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:45Z
issue_7bc10afaa74172983194,resolved,warning,Daily preparation degraded: security_6f9a1450edceb9307c9a,security_6f9a1450edceb9307c9a: price cache is empty,deterministic-controller,2026-07-26T18:50:24Z,2026-07-26T19:18:46Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:46Z
issue_7c3336b8354d9c076ebc,open,warning,Telegram delivery failed: 798017b585f7de9127a798eb52aac52052f72786,"report=data/wiki/daily-reports/daily-report_20260727.md commit=798017b585f7de9127a798eb52aac52052f72786 next_chunk=0 total_chunks=6 error=Telegram HTTP 401: {""ok"":false,""error_code"":401,""description"":""Unauthorized""}",delivery,2026-07-27T14:35:55Z,2026-07-27T14:35:55Z,gha-30274861908-1,,,
issue_8063efca3ea5402f7588,resolved,warning,Daily preparation degraded: security_cc4dcb8f002b61dffe00,security_cc4dcb8f002b61dffe00: price cache is empty,deterministic-controller,2026-07-26T18:41:33Z,2026-07-26T19:18:47Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:47Z
issue_8a44c0f8adb3d0d2fb86,resolved,warning,Daily preparation degraded: security_59304f90c440def31dc5,security_59304f90c440def31dc5: price cache is empty,deterministic-controller,2026-07-26T18:23:00Z,2026-07-26T19:18:48Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:48Z
issue_8b0b68860313ad4f9bec,resolved,warning,Daily preparation degraded: security_f2b9760d847b2ba59324,security_f2b9760d847b2ba59324: YFTzMissingError: $ENPH: possibly delisted; no timezone found,deterministic-controller,2026-07-26T19:00:28Z,2026-07-26T19:18:48Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:48Z
issue_9141a7a5538fd458f54f,open,warning,Telegram delivery failed: d3c816d22ba7ec5bb52ac8278b8f231f68dace74,"report=data/wiki/daily-reports/daily-report_20260724.md commit=d3c816d22ba7ec5bb52ac8278b8f231f68dace74 next_chunk=0 total_chunks=2 error=Telegram HTTP 401: {""ok"":false,""error_code"":401,""description"":""Unauthorized""}",delivery,2026-07-24T22:33:25Z,2026-07-24T22:33:25Z,gha-30131099054-1,,,
issue_989496e6d541f631fc1d,resolved,warning,Daily preparation degraded: security_8472507d7d320aa388a7,security_8472507d7d320aa388a7: price cache is empty,deterministic-controller,2026-07-26T18:50:24Z,2026-07-26T19:18:49Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:49Z
issue_9b4cbf2dec47a2d5f28b,open,warning,Daily preparation degraded: security_9d4049ed6669a52815d6,security_9d4049ed6669a52815d6: MarketDataError: invalid OHLC range on 2026-07-27 for security_9d4049ed6669a52815d6,deterministic-controller,2026-07-26T18:30:38Z,2026-07-27T15:31:12Z,gha-30280283355-1,,,
